MBLNR,EBELN,EBELP,BUDAT,MENGE,ACCEPTED_QTY,REJECTED_QTY
5000000202,4500000202,00010,2026-04-30,56.0,56.0,0.0
5000000203,4500000203,00010,2026-05-01,48.0,48.0,0.0
5000000204,4500000204,00010,2026-02-18,25.0,25.0,0.0
5000000205,4500000205,00010,2026-03-06,50.0,50.0,0.0
5000000206,4500000206,00010,2026-03-10,33.0,33.0,0.0
5000000207,4500000207,00010,2026-04-21,2.0,2.0,0.0
5000000208,4500000208,00010,2026-02-14,24.0,24.0,0.0
5000000209,4500000209,00010,2026-05-05,43.0,43.0,0.0
5000000210,4500000210,00010,2026-01-25,37.0,37.0,0.0
5000000211,4500000211,00010,2026-02-01,16.0,16.0,0.0
5000000212,4500000212,00010,2026-01-23,5.0,5.0,0.0
5000000213,4500000213,00010,2026-01-14,13.0,13.0,0.0
5000000214,4500000214,00010,2026-04-13,1.0,1.0,0.0
5000000215,4500000215,00010,2026-01-31,41.0,41.0,0.0
5000000216,4500000216,00010,2026-02-02,52.0,52.0,0.0
5000000217,4500000217,00010,2026-03-05,1.0,1.0,0.0
5000000218,4500000218,00010,2026-02-23,35.0,35.0,0.0
5000000219,4500000219,00010,2026-02-22,50.0,50.0,0.0
5000000220,4500000220,00010,2026-02-11,27.0,27.0,0.0
5000000221,4500000221,00010,2026-02-26,45.0,45.0,0.0
5000000222,4500000222,00010,2026-04-04,49.0,49.0,0.0
5000000223,4500000223,00010,2026-03-01,37.0,37.0,0.0
5000000224,4500000224,00010,2026-01-23,26.0,26.0,0.0
5000000225,4500000225,00010,2026-02-08,57.0,57.0,0.0
5000000226,4500000226,00010,2026-03-19,28.0,28.0,0.0
5000000227,4500000227,00010,2026-02-10,16.0,16.0,0.0
5000000228,4500000228,00010,2026-02-19,10.0,10.0,0.0
5000000229,4500000229,00010,2026-03-20,31.0,31.0,0.0
5000000230,4500000230,00010,2026-01-25,16.0,16.0,0.0
5000000231,4500000231,00010,2026-01-29,60.0,60.0,0.0
5000000232,4500000232,00010,2026-02-12,2.0,2.0,0.0
5000000233,4500000233,00010,2026-02-17,30.0,30.0,0.0
5000000234,4500000234,00010,2026-04-12,15.0,15.0,0.0
5000000235,4500000235,00010,2026-02-28,10.0,10.0,0.0
5000000236,4500000236,00010,2026-05-15,43.0,43.0,0.0
5000000237,4500000237,00010,2026-01-12,45.0,45.0,0.0
5000000238,4500000238,00010,2026-05-17,11.0,11.0,0.0
5000000239,4500000239,00010,2026-04-16,34.0,34.0,0.0
5000000240,4500000240,00010,2026-02-02,47.0,47.0,0.0
5000000241,4500000241,00010,2026-02-27,15.0,15.0,0.0
5000000242,4500000242,00010,2026-01-09,18.0,18.0,0.0
5000000243,4500000243,00010,2026-05-12,8.0,8.0,0.0
5000000244,4500000244,00010,2026-03-14,60.0,60.0,0.0
5000000245,4500000245,00010,2026-01-18,21.0,21.0,0.0
5000000246,4500000246,00010,2026-03-07,30.0,30.0,0.0
5000000247,4500000247,00010,2026-04-03,9.0,9.0,0.0
5000000248,4500000248,00010,2026-02-21,29.0,29.0,0.0
5000000249,4500000249,00010,2026-01-19,24.0,24.0,0.0
5000000250,4500000250,00010,2026-02-07,8.0,8.0,0.0
5000000251,4500000251,00010,2026-05-01,9.0,9.0,0.0
5000000252,4500000252,00010,2026-04-01,41.0,41.0,0.0
5000000253,4500000253,00010,2026-05-06,7.0,7.0,0.0
5000000254,4500000254,00010,2026-03-14,20.0,20.0,0.0
5000000255,4500000255,00010,2026-02-18,47.0,47.0,0.0
5000000256,4500000256,00010,2026-03-10,15.0,15.0,0.0
5000000257,4500000257,00010,2026-04-10,37.0,37.0,0.0
5000000258,4500000258,00010,2026-03-27,5.0,5.0,0.0
5000000259,4500000259,00010,2026-04-14,54.0,54.0,0.0
5000000260,4500000260,00010,2026-01-30,58.0,58.0,0.0
5000000261,4500000261,00010,2026-03-27,7.0,7.0,0.0
5000000262,4500000262,00010,2026-02-20,37.0,37.0,0.0
5000000263,4500000263,00010,2026-02-05,1.0,1.0,0.0
5000000264,4500000264,00010,2026-01-28,28.0,28.0,0.0
5000000265,4500000265,00010,2026-05-20,38.0,38.0,0.0
5000000266,4500000266,00010,2026-04-17,2.0,2.0,0.0
5000000267,4500000267,00010,2026-03-10,51.0,51.0,0.0
5000000268,4500000268,00010,2026-02-26,23.0,23.0,0.0
5000000269,4500000269,00010,2026-03-07,41.0,41.0,0.0
5000000270,4500000270,00010,2026-02-19,3.0,3.0,0.0
5000000271,4500000271,00010,2026-03-14,31.0,31.0,0.0
5000000272,4500000272,00010,2026-04-09,23.0,23.0,0.0
5000000273,4500000273,00010,2026-03-19,10.0,10.0,0.0
5000000274,4500000274,00010,2026-01-23,15.0,15.0,0.0
5000000275,4500000275,00010,2026-04-21,28.0,28.0,0.0
5000000276,4500000276,00010,2026-05-02,45.0,45.0,0.0
5000000277,4500000277,00010,2026-03-13,12.0,12.0,0.0
5000000278,4500000278,00010,2026-01-16,4.0,4.0,0.0
5000000279,4500000279,00010,2026-03-08,55.0,55.0,0.0
5000000280,4500000280,00010,2026-04-11,9.0,9.0,0.0
5000000281,4500000281,00010,2026-01-30,55.0,55.0,0.0
5000000282,4500000282,00010,2026-01-20,2.0,2.0,0.0
5000000283,4500000283,00010,2026-01-09,60.0,60.0,0.0
5000000284,4500000284,00010,2026-01-18,18.0,18.0,0.0
5000000285,4500000285,00010,2026-03-01,43.0,43.0,0.0
5000000286,4500000286,00010,2026-03-26,46.0,46.0,0.0
5000000287,4500000287,00010,2026-04-30,38.0,38.0,0.0
5000000288,4500000288,00010,2026-04-10,47.0,47.0,0.0
5000000289,4500000289,00010,2026-03-03,25.0,25.0,0.0
5000000290,4500000290,00010,2026-01-30,27.0,27.0,0.0
5000000291,4500000291,00010,2026-04-14,33.0,33.0,0.0
5000000292,4500000292,00010,2026-03-12,34.0,34.0,0.0
5000000293,4500000293,00010,2026-01-16,46.0,46.0,0.0
5000000294,4500000294,00010,2026-01-31,43.0,43.0,0.0
5000000295,4500000295,00010,2026-03-03,1.0,1.0,0.0
5000000296,4500000296,00010,2026-04-06,17.0,17.0,0.0
5000000297,4500000297,00010,2026-05-04,39.0,39.0,0.0
5000000298,4500000298,00010,2026-02-08,40.0,40.0,0.0
5000000299,4500000299,00010,2026-03-29,26.0,26.0,0.0
5000000300,4500000300,00010,2026-02-25,6.0,6.0,0.0
5000000301,4500000301,00010,2026-01-18,41.0,41.0,0.0
5000000302,4500000302,00010,2026-01-17,18.0,18.0,0.0
5000000303,4500000303,00010,2026-04-26,32.0,32.0,0.0
5000000304,4500000304,00010,2026-02-01,25.0,25.0,0.0
5000000305,4500000305,00010,2026-01-08,54.0,54.0,0.0
5000000306,4500000306,00010,2026-02-13,45.0,45.0,0.0
5000000307,4500000307,00010,2026-02-22,29.0,29.0,0.0
5000000308,4500000308,00010,2026-05-05,4.0,4.0,0.0
5000000309,4500000309,00010,2026-03-29,6.0,6.0,0.0
5000000310,4500000310,00010,2026-05-22,40.0,40.0,0.0
5000000311,4500000311,00010,2026-01-25,27.0,27.0,0.0
5000000312,4500000312,00010,2026-01-14,42.0,42.0,0.0
5000000313,4500000313,00010,2026-02-22,49.0,49.0,0.0
5000000314,4500000314,00010,2026-01-20,55.0,55.0,0.0
5000000315,4500000315,00010,2026-01-30,46.0,46.0,0.0
5000000316,4500000316,00010,2026-02-26,50.0,50.0,0.0
5000000317,4500000317,00010,2026-04-15,15.0,15.0,0.0
5000000318,4500000318,00010,2026-01-25,26.0,26.0,0.0
5000000319,4500000319,00010,2026-04-07,50.0,50.0,0.0
5000000320,4500000320,00010,2026-02-16,60.0,60.0,0.0
5000000321,4500000321,00010,2026-03-21,22.0,22.0,0.0
5000000322,4500000322,00010,2026-02-24,54.0,54.0,0.0
5000000323,4500000323,00010,2026-01-16,49.0,49.0,0.0
5000000324,4500000324,00010,2026-01-18,18.0,18.0,0.0
5000000325,4500000325,00010,2026-04-18,23.0,23.0,0.0
5000000326,4500000326,00010,2026-04-05,53.0,53.0,0.0
5000000327,4500000327,00010,2026-01-22,43.0,43.0,0.0
5000000328,4500000328,00010,2026-03-30,9.0,9.0,0.0
5000000329,4500000329,00010,2026-04-21,33.0,33.0,0.0
5000000330,4500000330,00010,2026-03-13,13.0,13.0,0.0
5000000331,4500000331,00010,2026-04-23,25.0,25.0,0.0
5000000332,4500000332,00010,2026-03-02,10.0,10.0,0.0
5000000333,4500000333,00010,2026-01-07,27.0,27.0,0.0
5000000334,4500000334,00010,2026-01-07,34.0,34.0,0.0
5000000335,4500000335,00010,2026-02-03,32.0,32.0,0.0
5000000336,4500000336,00010,2026-03-22,4.0,4.0,0.0
5000000337,4500000337,00010,2026-04-23,21.0,21.0,0.0
5000000338,4500000338,00010,2026-05-14,39.0,39.0,0.0
5000000339,4500000339,00010,2026-02-11,33.0,33.0,0.0
5000000340,4500000340,00010,2026-05-03,57.0,57.0,0.0
5000000341,4500000341,00010,2026-05-09,16.0,16.0,0.0
5000000342,4500000342,00010,2026-03-03,8.0,8.0,0.0
5000000343,4500000343,00010,2026-05-16,6.0,6.0,0.0
5000000344,4500000344,00010,2026-01-08,58.0,58.0,0.0
5000000345,4500000345,00010,2026-02-23,33.0,33.0,0.0
5000000346,4500000346,00010,2026-04-11,1.0,1.0,0.0
5000000347,4500000347,00010,2026-01-24,20.0,20.0,0.0
5000000348,4500000348,00010,2026-05-08,21.0,21.0,0.0
5000000349,4500000349,00010,2026-02-07,54.0,54.0,0.0
5000000350,4500000350,00010,2026-01-16,36.0,36.0,0.0
5000000351,4500000351,00010,2026-03-31,28.0,28.0,0.0
5000000352,4500000352,00010,2026-03-29,57.0,57.0,0.0
5000000353,4500000353,00010,2026-02-03,22.0,22.0,0.0
5000000354,4500000354,00010,2026-03-04,9.0,9.0,0.0
5000000355,4500000355,00010,2026-05-02,28.0,28.0,0.0
5000000356,4500000356,00010,2026-03-18,17.0,17.0,0.0
5000000357,4500000357,00010,2026-04-07,31.0,31.0,0.0
5000000358,4500000358,00010,2026-01-22,13.0,13.0,0.0
5000000359,4500000359,00010,2026-04-20,54.0,54.0,0.0
5000000360,4500000360,00010,2026-05-21,43.0,43.0,0.0
5000000361,4500000361,00010,2026-02-26,4.0,4.0,0.0
5000000362,4500000362,00010,2026-03-26,39.0,39.0,0.0
5000000363,4500000363,00010,2026-04-15,4.0,4.0,0.0
5000000364,4500000364,00010,2026-05-16,7.0,7.0,0.0
5000000365,4500000365,00010,2026-02-12,49.0,49.0,0.0
5000000366,4500000366,00010,2026-01-07,55.0,55.0,0.0
5000000367,4500000367,00010,2026-04-22,18.0,18.0,0.0
5000000368,4500000368,00010,2026-02-23,15.0,15.0,0.0
5000000369,4500000369,00010,2026-04-20,14.0,14.0,0.0
5000000370,4500000370,00010,2026-05-05,56.0,56.0,0.0
5000000371,4500000371,00010,2026-03-07,23.0,23.0,0.0
5000000372,4500000372,00010,2026-03-04,18.0,18.0,0.0
5000000373,4500000373,00010,2026-01-07,36.0,36.0,0.0
5000000374,4500000374,00010,2026-04-13,50.0,50.0,0.0
5000000375,4500000375,00010,2026-03-21,51.0,51.0,0.0
5000000376,4500000376,00010,2026-01-24,11.0,11.0,0.0
5000000377,4500000377,00010,2026-02-22,1.0,1.0,0.0
5000000378,4500000378,00010,2026-02-16,37.0,37.0,0.0
5000000379,4500000379,00010,2026-01-21,12.0,12.0,0.0
5000000380,4500000380,00010,2026-05-12,32.0,32.0,0.0
5000000381,4500000381,00010,2026-02-05,9.0,9.0,0.0
5000000382,4500000382,00010,2026-03-30,41.0,41.0,0.0
5000000383,4500000383,00010,2026-04-30,51.0,51.0,0.0
5000000384,4500000384,00010,2026-04-17,34.0,34.0,0.0
5000000385,4500000385,00010,2026-03-11,40.0,40.0,0.0
5000000386,4500000386,00010,2026-03-14,15.0,15.0,0.0
5000000387,4500000387,00010,2026-04-12,40.0,40.0,0.0
5000000388,4500000388,00010,2026-05-08,54.0,54.0,0.0
5000000389,4500000389,00010,2026-02-06,40.0,40.0,0.0
5000000390,4500000390,00010,2026-04-19,29.0,29.0,0.0
5000000391,4500000391,00010,2026-02-02,9.0,9.0,0.0
5000000392,4500000392,00010,2026-03-23,6.0,6.0,0.0
5000000393,4500000393,00010,2026-03-27,50.0,50.0,0.0
5000000394,4500000394,00010,2026-04-22,18.0,18.0,0.0
5000000395,4500000395,00010,2026-04-01,39.0,39.0,0.0
5000000396,4500000396,00010,2026-05-08,12.0,12.0,0.0
5000000397,4500000397,00010,2026-05-25,60.0,60.0,0.0
5000000398,4500000398,00010,2026-04-21,15.0,15.0,0.0
5000000399,4500000399,00010,2026-01-18,57.0,57.0,0.0
5000000400,4500000400,00010,2026-03-03,52.0,52.0,0.0
5090000401,4590000401,00010,2026-03-10,10.0,10.0,0.0
5090000402,4590000402,00010,2026-03-10,10.0,10.0,0.0
5090000403,4590000403,00010,2026-03-10,5.0,5.0,0.0
5090000404,4590000404,00010,2026-03-10,7.0,7.0,0.0
5090000405,4590000406,00010,2026-03-10,10.0,10.0,0.0
5090000406,4590000407,00010,2026-03-10,10.0,10.0,0.0
5090000407,4590000408,00010,2026-03-10,10.0,10.0,0.0
5090000408,4590000409,00010,2026-03-10,10.0,10.0,0.0
5090000409,4590000410,00010,2026-03-10,10.0,10.0,0.0
5090000410,4590000411,00010,2026-03-10,10.0,10.0,0.0
5090000411,4590000412,00010,2026-01-22,10.0,10.0,0.0
5090000412,4590000413,00010,2026-01-23,10.0,7.0,3.0
5090000413,4590000414,00010,2026-03-10,10.0,10.0,0.0
5090000414,4590000415,00010,2026-03-10,10.0,10.0,0.0
5090000415,4590000416,00010,2026-03-25,10.0,10.0,0.0
5090000416,4590000417,00010,2026-05-10,10.0,10.0,0.0
5090000417,4590000418,00010,2026-01-24,10.0,10.0,0.0
