LIFNR,NAME1,MATERIALS_SUPPLIED,PLANTS_SERVED,REGIONS_SERVED,NETPR,WAERS,PLIFZ,AVAILABLE_CAPACITY,OTD,QUALITY_SCORE,DEFECT_RATE,RISK_SCORE,ESG_SCORE,CONTRACT_STATUS,CONTRACT_EXPIRATION,ZTERM,ORDER_COUNT,HISTORICAL_SPEND
0000300014,Harbourview Technologies Oy,MAT-1010;MAT-1060;MAT-1080;MAT-1110,1010;1020;4010,APAC;EU;NA,275.72,USD,53,4247.0,95.3,78.9,0.67,8.9,79.2,Active,,NT60,121,473498.0
0000300015,Ironwood Technologies Oy,MAT-1000;MAT-1060,1010;1020;2010;4010,EU;NA,351.9,EUR,14,4717.0,85.1,71.6,4.54,54.5,85.0,No contract,2026-02-15,Z030,17,356902.0
0000300016,Juniper Engineering Sp. z o.o.,MAT-1020;MAT-1040;MAT-1080,1010;3010;4010,APAC;EU;LATAM,394.45,USD,45,4152.0,83.8,68.8,3.35,9.9,94.1,Active,2026-11-15,NT30,85,1127913.0
0000300017,Larkspur Trading BV,MAT-1000;MAT-1010;MAT-1020;MAT-1090;MAT-1110,1010;4010,APAC;EU,245.39,GBP,15,850.0,74.4,80.0,7.07,27.8,80.7,Expiring,2028-05-15,NT60,57,124919.0
0000300018,Meridian Manufacturing AG,MAT-1110,1010;4010,EU;NA,107.74,EUR,29,2142.0,76.5,90.9,2.49,55.0,88.0,No contract,2026-07-15,NT60,95,910206.0
0000300019,Northgate Components SA,MAT-1000;MAT-1040,1010;1020,EU,283.93,EUR,9,2943.0,70.0,90.8,2.22,14.6,48.4,Active,2026-11-15,NT45,83,1477062.0
0000300020,Orchard Materials SpA,MAT-1060;MAT-1080;MAT-1100;MAT-1110,1010;1020;4010,EU;LATAM,185.87,EUR,45,3762.0,80.2,90.7,6.46,30.3,61.0,Expiring,2028-02-15,Z030,75,253825.0
0000300021,Pinnacle Industrie GmbH,MAT-1000;MAT-1080,1010;1020;2010,EU;LATAM,279.31,GBP,31,1973.0,82.4,91.2,0.46,46.2,87.7,Active,2026-09-15,Z045,80,1302364.0
0000300022,Quarry Industrie GmbH,MAT-1030;MAT-1070;MAT-1100,1010;2010;3010,EU;NA,273.21,EUR,28,2277.0,75.7,92.6,2.77,20.2,91.4,Active,2028-07-15,NT45,8,1098773.0
0000300023,Redstone Systems Inc,MAT-1000;MAT-1010;MAT-1020;MAT-1060;MAT-1090,1010;1020;4010,EU;NA,164.62,EUR,26,1060.0,89.5,86.0,6.03,34.2,74.5,Active,2026-01-15,Z030,63,1390564.0
0000300024,Summit Materials SpA,MAT-1050;MAT-1100,1010;1020;2010;4010,APAC;EU;LATAM,315.47,USD,27,2459.0,83.8,70.4,6.0,34.9,77.4,Active,2028-11-15,NT60,47,368824.0
0000300025,Thornbury Systems Inc,MAT-1000;MAT-1040,1010;1020;2010;4010,APAC;EU,184.46,EUR,48,549.0,91.6,92.2,6.58,44.0,69.4,Active,2027-10-15,Z030,96,617394.0
0000300026,Umbra Logistics AS,MAT-1010;MAT-1030;MAT-1050;MAT-1110,1010;2010;4010,APAC;EU;LATAM,278.95,EUR,8,496.0,96.7,63.1,7.13,26.4,64.7,Active,,Z045,9,206747.0
0000300027,Valemont Logistics AS,MAT-1000;MAT-1040,1010;2010;4010,APAC;EU,307.29,GBP,12,4809.0,97.5,90.0,5.82,19.3,49.0,Active,2027-08-15,Z030,11,587621.0
0000300028,Westford Technologies Oy,MAT-1100,1010;2010;4010,EU;LATAM,194.29,EUR,39,3154.0,83.5,91.3,5.78,45.8,74.0,Expiring,2027-06-15,NT45,3,383152.0
0000300029,Yarrow Engineering Sp. z o.o.,MAT-1000;MAT-1020;MAT-1060;MAT-1080,1010,EU;LATAM,216.41,USD,24,327.0,75.3,77.2,1.77,40.6,94.0,Active,2027-07-15,Z045,112,907522.0
0000300030,Zenith Systems Inc,MAT-1060,1010;3010;4010,EU;NA,245.7,EUR,33,4498.0,92.1,73.6,2.01,45.6,88.0,Active,2027-05-15,NT60,53,454237.0
0000300031,Ashford Systems Inc,MAT-1000;MAT-1030;MAT-1040;MAT-1070;MAT-1110,1010;1020,APAC;EU,224.98,EUR,29,3603.0,81.7,84.3,4.29,20.0,90.3,Active,2027-04-15,Z030,18,677946.0
0000300032,Belmont Components SA,MAT-1040,1010;1020;3010,EU;NA,225.43,USD,24,835.0,76.8,89.9,3.62,34.8,57.3,Active,2027-12-15,NT45,14,532255.0
0000300033,Cresthill Supply Ltd,MAT-1000;MAT-1110,1010;3010;4010,EU;LATAM,279.25,EUR,23,2712.0,92.9,77.0,5.06,14.2,76.4,Active,2027-07-15,NT45,100,1007448.0
0000300034,Dunmore Technologies Oy,MAT-1020;MAT-1090,1010;2010;4010,EU;NA,299.89,USD,10,2834.0,92.2,89.7,3.1,24.0,63.9,No contract,,NT60,2,1128235.0
0000300035,Eastvale Materials SpA,MAT-1000;MAT-1040,1010,EU;LATAM,119.35,EUR,7,544.0,96.7,80.5,6.39,39.6,92.4,No contract,2028-01-15,Z045,48,1344022.0
0000300036,Foxglove Engineering Sp. z o.o.,MAT-1010;MAT-1030;MAT-1050;MAT-1080,1010;2010,EU;LATAM,273.09,EUR,15,3734.0,74.3,71.4,1.89,40.4,91.4,No contract,2027-11-15,NT45,121,1062588.0
0000300037,Glenmore Technologies Oy,MAT-1000;MAT-1040,1010;1020;2010;3010,APAC;EU;LATAM,188.17,USD,18,1443.0,96.6,70.2,7.32,33.0,49.4,Expiring,2027-01-15,NT60,0,378465.0
0000300038,Hollowbrook Components SA,MAT-1030;MAT-1040;MAT-1070;MAT-1110,1010;2010,EU,310.03,USD,12,1902.0,70.7,69.8,7.13,17.8,62.0,Active,,Z045,4,921734.0
0000300039,Inverness Technologies Oy,MAT-1000;MAT-1040;MAT-1110,1010;1020,APAC;EU,303.52,USD,11,1744.0,89.2,95.6,5.82,34.4,48.8,Active,2026-12-15,NT30,71,978955.0
0000300040,Kingsley Components SA,MAT-1000;MAT-1040;MAT-1050;MAT-1090,1010;3010;4010,EU;NA,203.67,USD,39,2591.0,81.2,75.3,6.54,47.9,60.8,Active,2026-09-15,Z030,106,1381849.0
0000300041,Lakeshore Logistics AS,MAT-1000;MAT-1020;MAT-1050;MAT-1110,1010;2010;3010,EU,262.22,USD,49,1796.0,89.3,68.4,1.87,41.6,77.0,Active,2026-12-15,NT60,90,44150.0
0000300042,Milbrook Technologies Oy,MAT-1010;MAT-1020;MAT-1050;MAT-1060,1010;1020;3010;4010,APAC;EU,269.65,GBP,21,3968.0,95.3,62.9,0.57,31.8,78.6,Active,,Z045,109,1231727.0
0000300043,Norwood Trading BV,MAT-1000;MAT-1080,1010;2010;3010,EU;NA,162.28,USD,52,3582.0,86.3,81.5,0.24,44.8,48.5,No contract,2028-04-15,Z030,74,1426220.0
0000300044,Oakfield Trading BV,MAT-1030;MAT-1050,1010;2010;4010,APAC;EU,110.48,USD,35,3969.0,76.6,71.8,4.91,30.4,53.0,No contract,2026-07-15,NT30,115,1042476.0
0000300045,Pemberton Logistics AS,MAT-1000;MAT-1040;MAT-1050;MAT-1060;MAT-1080,1010;2010;3010;4010,EU,319.25,USD,11,1707.0,76.7,86.0,2.43,41.1,83.2,Expiring,2028-11-15,Z045,25,1309567.0
0000300046,Ridgeway Trading BV,MAT-1010;MAT-1020;MAT-1070;MAT-1080,1010;2010;3010;4010,EU,287.51,USD,32,2624.0,92.9,78.7,1.89,34.2,79.1,Active,2027-09-15,Z030,71,910247.0
0000300047,Stonebridge Components SA,MAT-1000,1010;2010,EU;LATAM,225.29,EUR,53,3214.0,94.8,92.5,4.99,12.7,77.6,Expiring,,Z030,34,831361.0
0000300048,Tallowood Manufacturing AG,MAT-1060,1010;3010;4010,APAC;EU;LATAM,271.98,USD,20,4736.0,83.8,92.1,0.4,29.3,80.0,No contract,2027-01-15,Z045,52,1324665.0
0000300049,Ullswater Systems Inc,MAT-1000;MAT-1010;MAT-1040,1010;1020;4010,EU,131.5,USD,31,2480.0,82.6,81.5,6.51,50.3,70.1,Expiring,2027-09-15,Z045,12,1044089.0
0000300050,Vinemount Engineering Sp. z o.o.,MAT-1040;MAT-1050;MAT-1070;MAT-1090,1010;1020;2010,EU;NA,200.44,EUR,50,4281.0,85.3,86.4,5.43,49.4,61.9,No contract,,Z045,116,490749.0
0000300051,Whitfield Manufacturing AG,MAT-1000;MAT-1010;MAT-1040,1010;2010;3010,EU;LATAM;NA,173.15,GBP,32,469.0,86.4,97.3,0.21,41.4,62.7,Active,2028-02-15,NT60,27,496517.0
0000300052,Yardley Logistics AS,MAT-1090,1010;2010;3010;4010,APAC;EU,279.41,USD,46,4848.0,78.7,77.5,6.35,13.6,65.2,Expiring,2027-12-15,NT45,62,537353.0
0000300053,Zephyr Industrie GmbH,MAT-1000;MAT-1090;MAT-1110,1010;1020;2010,EU;NA,270.86,GBP,21,1648.0,97.7,78.7,2.87,19.9,63.8,No contract,2028-03-15,Z045,120,921661.0
0000300054,Alderford Logistics AS,MAT-1010;MAT-1060;MAT-1110,1010;1020;2010,EU;LATAM,307.03,GBP,32,3294.0,95.2,76.8,2.41,24.2,83.4,Expiring,,Z045,100,1398621.0
0000300055,Bexley Technologies Oy,MAT-1000;MAT-1100;MAT-1110,1010;2010;3010;4010,APAC;EU,107.66,USD,52,1878.0,87.2,90.5,3.29,48.2,78.3,Active,,NT60,11,362245.0
