LIFNR,NAME1,MATERIALS_SUPPLIED,PLANTS_SERVED,REGIONS_SERVED,NETPR,WAERS,PLIFZ,AVAILABLE_CAPACITY,OTD,QUALITY_SCORE,DEFECT_RATE,RISK_SCORE,ESG_SCORE,CONTRACT_STATUS,CONTRACT_EXPIRATION,ZTERM,ORDER_COUNT,HISTORICAL_SPEND,LAND1,SPEND_CATEGORY,OPEN_PO_COUNT,ACTIVE_CONTRACTS,KONNR,DELIVERY_COUNT,LATE_DELIVERY_COUNT,AVG_DELAY_DAYS,QUALITY_INCIDENTS,INVOICE_COUNT,INVOICE_EXCEPTIONS,DISPUTED_INVOICES,CREDIT_SCORE,DPO,PAYMENT_DEFAULTS,FINANCIAL_DISTRESS,CATEGORY_SPEND_SHARE,SINGLE_SOURCE_MATERIALS,COMPLIANCE_FINDINGS,CERTIFICATION_STATUS,AUDIT_STATUS,LAST_AUDIT_DATE,CAPACITY_UTILIZATION,LEAD_TIME_VARIABILITY,ALTERNATIVE_SUPPLIERS
0000300011,Ember Materials SpA,MAT-1060;MAT-1100,1010;1020,LATAM;NA,185.41,EUR,28,3494.0,93.2,87.6,2.82,42.4,69.8,Expiring,2028-02-08,NT30,102,1570500.0,GB,Raw Materials,27,2,4600081010,135,13,4.4,4,160,8,2,73.3,54.5,0,False,28.5,2,1,Expiring,Conditional,2026-02-18,76.7,5.1,3
0000300012,Fairmont Logistics AS,MAT-1010;MAT-1040,1010;1020,APAC;EU;NA,409.06,EUR,25,4169.0,94.0,89.0,2.74,37.8,72.7,Expiring,2027-11-26,Z030,210,2759948.0,FR,Packaging,22,2,4600081011,118,9,3.9,3,175,7,2,75.9,51.0,0,False,25.0,2,1,Valid,Passed,2024-08-07,74.1,4.5,4
0000300013,Granite Trading BV,MAT-1010;MAT-1020;MAT-1030,1010;3010,APAC;LATAM,132.36,GBP,13,2728.0,97.7,94.9,0.91,17.3,85.5,Active,2028-07-14,NT60,310,785136.0,CZ,Logistics Services,14,3,4600081012,146,4,2.3,1,260,4,0,87.8,35.5,0,False,9.5,0,0,Valid,Passed,2026-02-08,62.2,1.8,5
0000300014,Harbourview Logistics AS,MAT-1050;MAT-1060;MAT-1100;MAT-1110,1010;1020;3010,APAC;NA,207.42,EUR,21,3749.0,95.2,90.8,2.27,31.6,76.6,Active,2028-01-30,Z030,284,3369526.0,PT,MRO Supplies,18,2,4600081013,66,4,2.9,2,107,4,1,79.5,46.3,0,False,20.3,1,1,Valid,Passed,2025-01-30,70.5,3.7,4
0000300015,Ironwood Technologies Oy,MAT-1070;MAT-1090,1010;4010,APAC;LATAM;NA,333.0,GBP,20,3993.0,95.7,91.6,1.58,28.5,78.5,Active,2027-06-14,Z030,91,2115666.0,AT,Specialty Chemicals,8,1,4600081014,83,4,3.1,2,138,4,1,81.3,44.0,0,False,18.0,1,1,Valid,Passed,2024-12-27,68.7,3.3,4
0000300016,Juniper Systems Inc,MAT-1020;MAT-1070;MAT-1090;MAT-1100,1010;3010,APAC;NA,388.96,EUR,18,3592.0,96.4,92.7,1.47,24.8,80.8,Active,2027-02-22,NT30,203,1984142.0,CA,IT Hardware,4,1,4600081015,110,4,2.4,2,117,3,1,83.4,41.2,0,False,15.2,1,1,Valid,Passed,2024-09-15,66.6,2.8,5
0000300017,Larkspur Manufacturing AG,MAT-1000;MAT-1030;MAT-1060;MAT-1080,1010;4010,APAC;NA,384.09,EUR,10,5437.0,98.6,96.4,0.57,12.1,88.7,Active,2028-08-10,Z030,92,2558764.0,DE,Electronic Components,19,1,4600081016,143,2,0.7,1,146,1,0,90.8,31.6,0,False,5.6,0,0,Valid,Passed,2024-08-03,59.2,1.1,6
0000300018,Meridian Systems Inc,MAT-1010;MAT-1070,1010;4010,APAC;LATAM;NA,364.88,EUR,23,706.0,94.6,89.8,2.42,35.0,74.4,Expiring,2026-08-25,Z045,249,1778446.0,IT,Mechanical Parts,6,1,4600081017,182,11,3.4,4,227,9,1,77.5,48.9,0,False,22.9,1,1,Valid,Passed,2025-06-26,72.5,4.1,4
0000300019,Northgate Technologies Oy,MAT-1050;MAT-1070,1010;2010,APAC;LATAM,390.55,GBP,14,2779.0,97.6,94.7,1.08,18.0,85.0,Active,2027-01-27,NT45,137,3392893.0,AT,Raw Materials,25,2,4600081018,72,2,2.4,1,222,3,0,87.4,36.0,0,False,10.0,0,0,Valid,Passed,2026-05-13,62.6,1.9,5
0000300020,Orchard Systems Inc,MAT-1010;MAT-1050;MAT-1070,1010;4010,APAC;EU,117.17,USD,34,3748.0,91.3,84.5,3.55,53.2,63.1,Renewal due,2028-12-31,NT60,253,2483840.0,JP,Packaging,24,3,4600081019,173,18,5.3,5,89,6,2,67.0,62.7,1,False,36.7,2,2,Renewal due,Remediation,2025-09-03,83.0,6.6,2
0000300021,Pinnacle Industrie GmbH,MAT-1000;MAT-1010;MAT-1060;MAT-1070,1010;2010,LATAM;NA,219.07,EUR,17,478.0,96.4,92.8,1.38,24.6,80.9,Active,2027-08-26,Z030,170,307044.0,GB,Logistics Services,13,3,4600081020,116,6,2.4,2,191,5,1,83.6,41.0,0,False,15.0,1,1,Valid,Passed,2025-07-23,66.4,2.7,5
0000300022,Quarry Logistics AS,MAT-1060;MAT-1080,1010;4010,LATAM;NA,293.05,EUR,10,2333.0,98.6,96.4,0.6,12.1,88.7,Active,2029-02-09,Z045,117,197686.0,ES,MRO Supplies,0,2,4600081021,92,1,1.5,1,102,1,0,90.8,31.6,0,False,5.6,0,0,Valid,Passed,2025-01-14,59.2,1.1,6
0000300023,Redstone Supply Ltd,MAT-1000;MAT-1010;MAT-1050,1010;1020;4010,APAC;EU,359.17,EUR,31,4717.0,92.3,86.1,3.08,47.8,66.5,Expiring,2027-09-05,NT60,241,916099.0,FI,Specialty Chemicals,5,3,4600081022,119,8,4.5,4,168,9,2,70.2,58.6,1,False,32.6,2,2,Expiring,Conditional,2025-07-30,79.8,5.8,3
0000300024,Summit Supply Ltd,MAT-1020;MAT-1050;MAT-1090;MAT-1110,1010,EU;LATAM,97.25,GBP,11,2652.0,98.3,95.8,0.95,14.1,87.4,Active,2029-01-13,Z030,209,1371201.0,SE,IT Hardware,13,4,4600081023,135,2,0.9,1,197,2,0,89.6,33.1,0,False,7.1,0,0,Valid,Passed,2025-03-03,60.4,1.4,6
0000300025,Thornbury Systems Inc,MAT-1010;MAT-1020;MAT-1070;MAT-1100,1010;3010;4010,EU;LATAM;NA,268.43,USD,35,2439.0,91.1,84.1,3.8,54.5,62.3,Renewal due,2028-05-27,Z030,150,3386202.0,AT,Electronic Components,9,4,4600081024,169,17,5.9,4,250,16,2,66.3,63.6,1,False,37.6,2,2,Renewal due,Remediation,2026-05-01,83.7,6.7,2
0000300026,Umbra Materials SpA,MAT-1000;MAT-1030;MAT-1040;MAT-1060,1010;3010;4010,EU;LATAM,160.13,USD,29,4618.0,92.7,86.8,2.67,45.4,68.0,Expiring,2028-03-08,Z045,206,126856.0,CA,Mechanical Parts,13,2,4600081025,147,12,4.5,4,209,11,2,71.5,56.8,0,False,30.8,2,2,Expiring,Conditional,2025-06-17,78.5,5.5,3
0000300027,Valemont Manufacturing AG,MAT-1040;MAT-1060;MAT-1100,1010;2010;3010,APAC;LATAM,163.83,CHF,19,3483.0,95.9,92.0,1.62,27.2,79.3,Active,2027-01-29,NT60,250,3096458.0,SE,Raw Materials,23,2,4600081026,110,6,2.7,2,179,5,1,82.1,43.0,0,False,17.0,1,1,Valid,Passed,2025-03-23,67.9,3.1,4
0000300028,Westford Technologies Oy,MAT-1030;MAT-1110,1010;2010;4010,EU;LATAM,376.57,EUR,15,564.0,97.0,93.8,1.45,21.2,83.0,Active,2027-11-02,NT30,145,3088106.0,FR,Packaging,20,4,4600081027,52,2,2.8,2,212,4,1,85.5,38.5,0,False,12.5,1,0,Valid,Passed,2024-11-26,64.5,2.3,5
0000300029,Yarrow Components SA,MAT-1010;MAT-1030;MAT-1100,1010;2010,APAC;EU;NA,300.66,EUR,28,2359.0,93.3,87.7,2.54,42.3,69.9,Expiring,2027-10-11,NT30,137,1519499.0,IE,Logistics Services,21,1,4600081028,177,16,4.9,4,225,11,2,73.3,54.4,0,False,28.4,2,1,Expiring,Conditional,2025-09-13,76.7,5.1,3
0000300030,Zenith Industrie GmbH,MAT-1000;MAT-1040;MAT-1080;MAT-1100,1010,EU;LATAM;NA,377.7,CHF,35,1874.0,91.1,84.2,3.68,54.5,62.3,Renewal due,2028-04-15,NT45,142,3235654.0,ES,MRO Supplies,6,1,4600081029,112,9,5.2,5,255,16,2,66.3,63.6,1,False,37.6,2,2,Renewal due,Remediation,2025-12-07,83.7,6.7,2
0000300031,Ashford Technologies Oy,MAT-1050;MAT-1060,1010;2010,EU;LATAM;NA,293.64,USD,29,2333.0,93.0,87.2,2.61,44.0,68.8,Expiring,2029-02-05,Z045,134,2168488.0,DE,Specialty Chemicals,2,2,4600081030,126,9,4.2,4,231,12,2,72.3,55.7,0,False,29.7,2,2,Expiring,Conditional,2025-10-13,77.7,5.3,3
0000300032,Belmont Industrie GmbH,MAT-1070;MAT-1090,1010;1020;3010,APAC;EU;LATAM,359.36,EUR,25,3645.0,94.0,88.9,2.22,37.9,72.6,Expiring,2028-09-04,NT45,152,2900063.0,FI,IT Hardware,24,4,4600081031,184,12,3.3,4,76,3,2,75.9,51.1,0,False,25.1,2,1,Valid,Passed,2024-08-27,74.1,4.5,4
0000300033,Cresthill Technologies Oy,MAT-1030;MAT-1060;MAT-1070;MAT-1100,1010;1020,EU;LATAM;NA,144.89,EUR,11,3521.0,98.2,95.8,0.97,14.3,87.3,Active,2028-01-19,NT30,268,2896210.0,SE,Electronic Components,24,2,4600081032,216,5,1.2,2,253,3,0,89.5,33.2,0,False,7.2,0,0,Valid,Passed,2025-05-23,60.5,1.4,6
0000300034,Dunmore Manufacturing AG,MAT-1040;MAT-1090;MAT-1110,1010;4010,LATAM;NA,411.9,USD,13,4562.0,97.7,94.8,0.93,17.5,85.3,Active,2028-12-07,NT45,80,326641.0,IE,Mechanical Parts,1,1,4600081033,52,2,2.3,1,236,4,0,87.7,35.7,0,False,9.7,0,0,Valid,Passed,2025-10-08,62.3,1.8,5
0000300035,Eastvale Manufacturing AG,MAT-1100;MAT-1110,1010;2010,EU;NA,239.58,USD,16,4698.0,96.9,93.5,1.59,22.0,82.6,Expiring,2026-09-17,NT30,78,1815972.0,GB,Raw Materials,12,1,4600081034,51,2,2.1,1,235,5,1,85.1,39.0,0,False,13.0,1,1,Valid,Passed,2025-02-21,64.9,2.4,5
0000300036,Foxglove Engineering Sp. z o.o.,MAT-1010;MAT-1050;MAT-1080;MAT-1090,1010;4010,EU;LATAM;NA,80.74,EUR,19,723.0,96.0,92.1,1.61,26.8,79.5,Active,2028-03-07,NT60,40,1136151.0,FI,Packaging,19,2,4600081035,199,8,2.2,3,58,2,1,82.3,42.7,0,False,16.7,1,1,Valid,Passed,2026-04-16,67.7,3.0,5
0000300037,Glenmore Engineering Sp. z o.o.,MAT-1020;MAT-1030;MAT-1090,1010;2010,APAC;NA,232.9,EUR,27,5219.0,93.4,87.9,2.59,41.6,70.3,Expiring,2028-07-29,NT60,94,1174548.0,PT,Logistics Services,5,3,4600081036,143,9,4.4,4,241,11,2,73.7,53.9,0,False,27.9,2,1,Expiring,Conditional,2026-01-01,76.3,5.0,3
0000300038,Hollowbrook Engineering Sp. z o.o.,MAT-1030;MAT-1040;MAT-1080;MAT-1100,1010;4010,EU;LATAM,112.12,GBP,27,2563.0,93.6,88.2,2.89,40.6,71.0,Expiring,2028-10-08,Z045,165,3137905.0,AT,MRO Supplies,18,4,4600081037,174,14,3.6,3,232,11,2,74.3,53.1,0,False,27.1,2,1,Valid,Conditional,2025-03-28,75.7,4.9,3
0000300039,Inverness Engineering Sp. z o.o.,MAT-1020;MAT-1060;MAT-1080,1010,APAC;EU;NA,207.92,GBP,32,1539.0,91.9,85.4,3.02,50.2,65.0,Renewal due,2027-11-13,Z045,168,174223.0,AT,Specialty Chemicals,22,1,4600081038,191,21,5.1,5,185,11,2,68.8,60.3,1,False,34.3,2,2,Expiring,Conditional,2025-08-02,81.2,6.2,2
0000300040,Kingsley Technologies Oy,MAT-1030;MAT-1100;MAT-1110,1010;3010,APAC;LATAM,341.92,USD,27,1259.0,93.6,88.2,2.88,40.6,70.9,Expiring,2028-02-16,NT60,30,1052251.0,SE,IT Hardware,20,3,4600081039,118,10,4.2,3,203,9,2,74.3,53.1,0,False,27.1,2,1,Valid,Conditional,2026-02-12,75.7,4.9,3
0000300041,Lakeshore Trading BV,MAT-1000;MAT-1040;MAT-1050;MAT-1070,1010;1020;3010,APAC;NA,246.64,GBP,33,3348.0,91.7,85.1,3.21,51.3,64.3,Renewal due,2027-06-24,NT60,257,1795519.0,DK,Electronic Components,24,1,4600081040,139,14,5.5,4,163,10,2,68.1,61.2,1,False,35.2,2,2,Renewal due,Remediation,2025-05-16,81.9,6.3,2
0000300042,Milbrook Trading BV,MAT-1010;MAT-1040;MAT-1060;MAT-1090,1010,EU;LATAM;NA,343.93,CHF,32,3256.0,92.0,85.6,3.42,49.4,65.5,Renewal due,2028-04-22,NT60,277,3345659.0,FI,Mechanical Parts,16,1,4600081041,134,10,5.2,4,139,8,2,69.2,59.8,1,False,33.8,2,2,Expiring,Conditional,2024-09-06,80.8,6.1,2
0000300043,Norwood Logistics AS,MAT-1020;MAT-1050,1010;1020;2010,EU;NA,317.45,EUR,26,1568.0,93.8,88.6,2.6,39.2,71.8,Expiring,2028-06-01,NT60,29,2537120.0,ES,Raw Materials,8,2,4600081042,119,10,4.3,4,81,4,2,75.1,52.0,0,False,26.0,2,1,Valid,Passed,2025-08-15,74.9,4.7,3
0000300044,Oakfield Manufacturing AG,MAT-1000;MAT-1020;MAT-1030,1010;2010;3010,APAC;EU,396.97,USD,29,3606.0,92.7,86.8,3.05,45.4,68.0,Expiring,2027-12-22,Z030,62,1949749.0,CH,Packaging,0,3,4600081043,75,7,5.1,4,168,9,2,71.6,56.7,0,False,30.7,2,2,Expiring,Conditional,2026-05-20,78.4,5.5,3
0000300045,Pemberton Supply Ltd,MAT-1000;MAT-1060;MAT-1090;MAT-1100,1010,EU;LATAM;NA,229.2,USD,34,2981.0,91.2,84.4,3.73,53.7,62.8,Renewal due,2027-07-03,Z030,87,2494019.0,DE,Logistics Services,23,1,4600081044,201,18,5.9,4,71,4,2,66.7,63.0,1,False,37.0,2,2,Renewal due,Remediation,2025-12-15,83.3,6.6,2
0000300046,Ridgeway Engineering Sp. z o.o.,MAT-1000;MAT-1080,1010;4010,EU;NA,215.81,EUR,18,1948.0,96.2,92.5,1.41,25.5,80.4,Active,2028-04-14,NT45,180,2119736.0,US,MRO Supplies,25,1,4600081045,118,5,2.9,2,57,1,1,83.0,41.7,0,False,15.7,1,1,Valid,Passed,2025-06-26,67.0,2.9,5
0000300047,Stonebridge Industrie GmbH,MAT-1010;MAT-1080,1010;3010,APAC;EU;NA,309.65,EUR,14,2057.0,97.6,94.7,1.33,17.8,85.1,Active,2027-11-15,NT30,138,761996.0,JP,Specialty Chemicals,8,2,4600081046,92,3,1.7,1,61,1,0,87.5,35.9,0,False,9.9,0,0,Valid,Passed,2024-10-12,62.5,1.8,5
0000300048,Tallowood Materials SpA,MAT-1010;MAT-1030,1010;2010,EU;LATAM;NA,156.23,EUR,13,4185.0,97.7,94.8,0.87,17.5,85.3,Active,2027-06-19,NT45,186,616736.0,FI,IT Hardware,27,3,4600081047,121,4,1.3,1,241,4,0,87.7,35.7,0,False,9.7,0,0,Valid,Passed,2024-09-03,62.3,1.8,5
0000300049,Ullswater Components SA,MAT-1050;MAT-1080,1010;3010,LATAM;NA,120.03,EUR,33,4172.0,91.6,85.0,3.61,51.6,64.1,Renewal due,2028-02-24,Z045,222,1666652.0,CA,Electronic Components,14,3,4600081048,189,19,4.7,4,143,9,2,68.0,61.4,1,False,35.4,2,2,Renewal due,Remediation,2025-12-21,82.0,6.3,2
0000300050,Vinemount Materials SpA,MAT-1010;MAT-1070,1010;1020,APAC;NA,341.05,EUR,14,5384.0,97.5,94.5,1.34,18.5,84.7,Active,2029-03-13,NT30,170,2138436.0,CH,Mechanical Parts,7,2,4600081049,124,3,1.7,1,259,4,0,87.1,36.4,0,False,10.4,0,0,Valid,Passed,2025-09-08,62.9,1.9,5
0000300051,Whitfield Technologies Oy,MAT-1000;MAT-1010;MAT-1040;MAT-1090,1010;4010,APAC;EU;LATAM,160.15,USD,22,3303.0,95.2,90.7,1.96,31.7,76.5,Active,2027-12-20,NT45,196,1573228.0,CZ,Raw Materials,1,2,4600081050,48,3,3.6,2,237,8,1,79.5,46.4,0,False,20.4,1,1,Valid,Passed,2024-10-25,70.5,3.7,4
0000300052,Yardley Technologies Oy,MAT-1000;MAT-1040;MAT-1080,1010;2010,EU;NA,385.76,EUR,24,5064.0,94.4,89.6,2.41,35.7,74.0,Active,2028-07-25,NT30,179,2719363.0,BE,Packaging,11,3,4600081051,157,11,4.2,3,250,10,1,77.2,49.4,0,False,23.4,1,1,Valid,Passed,2025-06-02,72.8,4.2,4
0000300053,Zephyr Technologies Oy,MAT-1010;MAT-1020;MAT-1070;MAT-1100,1010,APAC;EU,401.52,CHF,33,654.0,91.5,84.8,3.17,52.4,63.6,Renewal due,2028-05-13,Z030,193,1785186.0,IT,Logistics Services,23,1,4600081052,169,16,5.2,5,197,12,2,67.5,62.0,1,False,36.0,2,2,Renewal due,Remediation,2025-12-10,82.5,6.4,2
0000300054,Alderford Manufacturing AG,MAT-1000;MAT-1060;MAT-1090,1010;4010,EU;LATAM;NA,418.36,GBP,12,3638.0,97.9,95.3,0.93,16.0,86.3,Active,2028-01-16,NT45,46,297195.0,SE,MRO Supplies,7,4,4600081053,85,2,1.6,1,216,3,0,88.5,34.5,0,False,8.5,0,0,Valid,Passed,2025-01-21,61.5,1.6,5
0000300055,Bexley Components SA,MAT-1010;MAT-1020;MAT-1040;MAT-1060,1010;2010,EU;LATAM;NA,85.05,USD,17,5040.0,96.5,93.0,1.47,24.0,81.3,Active,2028-09-29,NT30,55,1594578.0,GB,Specialty Chemicals,0,3,4600081054,212,9,2.0,2,167,4,1,83.9,40.5,0,False,14.5,1,1,Valid,Passed,2024-12-14,66.1,2.7,5
