EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MENGE,NETPR,WAERS,ZTERM,BEDAT,PO_STATUS
4500000039,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,47.0,172.17,EUR,NT60,2026-04-28,Open
4500000040,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,51.0,463.87,EUR,NT60,2026-03-30,Open
4500000041,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,58.0,199.73,EUR,NT30,2026-03-21,Open
4500000042,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,34.0,208.78,EUR,NT30,2026-01-07,Open
4500000043,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,41.0,99.21,GBP,NT60,2026-02-06,Open
4500000044,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,35.0,87.41,GBP,NT45,2026-01-03,Open
4500000045,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,35.0,498.42,EUR,NT30,2026-04-02,Open
4500000046,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,54.0,506.36,EUR,NT60,2026-02-14,Open
4500000047,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,19.0,170.14,EUR,NT45,2026-03-11,Open
4500000048,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,5.0,410.7,EUR,NT30,2026-03-29,Open
4500000049,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,47.0,498.81,USD,NT30,2026-04-08,Open
4500000050,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,10.0,571.93,EUR,NT45,2026-03-11,Open
4500000051,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,28.0,148.9,EUR,NT45,2026-01-01,Open
4500000052,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,48.0,138.47,EUR,NT60,2026-02-15,Open
4500000053,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,14.0,368.15,EUR,NT30,2026-03-02,Open
4500000054,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,44.0,334.19,EUR,NT30,2026-03-27,Open
4500000055,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,12.0,153.99,USD,NT45,2026-01-11,Open
4500000056,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,3.0,371.29,EUR,NT45,2026-01-25,Open
4500000057,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,6.0,45.87,USD,NT60,2026-03-18,Open
4500000058,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,59.0,496.11,USD,NT30,2026-01-06,Open
4500000059,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,18.0,305.56,EUR,NT60,2026-01-24,Open
4500000060,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,47.0,91.87,EUR,NT45,2026-01-30,Open
4500000061,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,41.0,479.94,EUR,NT45,2026-04-08,Open
4500000062,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,55.0,173.17,EUR,NT60,2026-02-10,Open
4500000063,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,60.0,192.24,GBP,NT45,2026-03-29,Open
4500000064,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,2.0,570.28,USD,NT45,2026-05-01,Open
4500000065,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,4.0,382.22,EUR,NT30,2026-04-11,Open
4500000066,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,51.0,292.47,USD,NT60,2026-02-02,Open
4500000067,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,36.0,428.02,USD,NT45,2026-04-18,Open
4500000068,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,32.0,67.64,GBP,NT45,2026-01-07,Open
4500000069,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,51.0,154.74,EUR,NT30,2026-05-05,Open
4500000070,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,2.0,168.93,EUR,NT30,2026-03-31,Open
4500000071,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,46.0,171.37,EUR,NT45,2026-04-18,Open
4500000072,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,60.0,77.17,USD,NT45,2026-04-09,Open
4500000073,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,49.0,568.05,EUR,NT45,2026-03-22,Open
4500000074,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,37.0,561.91,EUR,NT60,2026-01-19,Open
4500000075,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,54.0,161.69,USD,NT60,2026-03-11,Open
4500000076,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,52.0,150.38,EUR,NT60,2026-03-30,Open
4500000077,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,57.0,437.61,EUR,NT45,2026-01-30,Open
4500000078,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,36.0,163.99,EUR,NT60,2026-04-21,Open
4500000079,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,11.0,245.74,EUR,NT60,2026-04-14,Open
4500000080,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,39.0,340.43,EUR,NT45,2026-04-15,Open
4500000081,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,46.0,526.25,EUR,NT60,2026-05-11,Open
4500000082,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,38.0,479.65,GBP,NT45,2026-01-15,Open
4500000083,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,51.0,498.18,EUR,NT30,2026-01-27,Open
4500000084,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,5.0,74.07,GBP,NT60,2026-04-23,Open
4500000085,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,5.0,79.15,EUR,NT45,2026-04-09,Open
4500000086,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,31.0,478.58,GBP,NT45,2026-03-25,Open
4500000087,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,58.0,236.28,EUR,NT45,2026-02-09,Open
4500000088,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,13.0,267.34,EUR,NT30,2026-03-28,Open
4500000089,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,20.0,342.73,USD,NT30,2026-01-04,Open
4500000090,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,36.0,283.31,EUR,NT45,2026-04-17,Open
4500000091,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,40.0,312.35,EUR,NT60,2026-02-10,Open
4500000092,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,46.0,478.92,EUR,NT60,2026-02-12,Open
4500000093,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,12.0,334.55,USD,NT60,2026-04-10,Open
4500000094,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,43.0,163.22,EUR,NT30,2026-01-03,Open
4500000095,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,46.0,332.06,EUR,NT60,2026-01-18,Open
4500000096,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,24.0,155.17,USD,NT30,2026-04-11,Open
4500000097,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,7.0,561.07,EUR,NT30,2026-04-01,Open
4500000098,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,3.0,585.86,EUR,NT45,2026-02-16,Open
4500000099,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,34.0,229.06,USD,NT30,2026-01-06,Open
4500000100,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,20.0,474.21,EUR,NT30,2026-01-05,Open
4500000101,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,44.0,527.52,USD,NT45,2026-02-01,Open
4500000102,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,5.0,535.79,EUR,NT30,2026-05-01,Open
4500000103,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,43.0,86.67,EUR,NT45,2026-02-03,Open
4500000104,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,60.0,134.02,USD,NT60,2026-04-04,Open
4500000105,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,14.0,217.7,GBP,NT45,2026-01-09,Open
4500000106,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,47.0,311.8,EUR,NT60,2026-03-02,Open
4500000107,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,26.0,557.17,EUR,NT60,2026-02-08,Open
4500000108,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,42.0,146.93,USD,NT45,2026-03-03,Open
4500000109,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,13.0,320.34,GBP,NT30,2026-04-17,Open
4500000110,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,22.0,327.64,EUR,NT60,2026-02-23,Open
4500000111,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,56.0,488.74,USD,NT45,2026-03-20,Open
4500000112,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,12.0,362.89,GBP,NT60,2026-04-15,Open
4500000113,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,28.0,43.4,USD,NT30,2026-01-10,Open
4500000114,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,39.0,319.4,USD,NT30,2026-04-28,Open
4500000115,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,45.0,80.65,EUR,NT45,2026-04-30,Open
4500000116,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,49.0,523.67,USD,NT60,2026-02-10,Open
4500000117,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,8.0,472.73,USD,NT60,2026-04-14,Open
4500000118,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,7.0,199.11,EUR,NT60,2026-05-02,Open
4500000119,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,51.0,574.6,EUR,NT30,2026-01-10,Open
4500000120,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,7.0,434.06,USD,NT45,2026-03-19,Open
4500000121,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,3.0,284.8,EUR,NT45,2026-01-23,Open
4500000122,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,33.0,148.15,USD,NT60,2026-05-08,Open
4500000123,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,11.0,431.28,EUR,NT30,2026-04-30,Open
4500000124,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,40.0,350.79,EUR,NT30,2026-03-26,Open
4500000125,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,37.0,468.52,EUR,NT45,2026-02-21,Open
4500000126,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,17.0,448.94,GBP,NT30,2026-04-20,Open
4500000127,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,52.0,397.93,USD,NT45,2026-02-20,Open
4500000128,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,58.0,42.88,GBP,NT60,2026-04-05,Open
4500000129,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,16.0,517.44,GBP,NT30,2026-02-18,Open
4500000130,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,46.0,424.5,EUR,NT30,2026-03-26,Open
4500000131,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,1.0,126.68,EUR,NT60,2026-05-09,Open
4500000132,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,14.0,594.73,GBP,NT60,2026-04-11,Open
4500000133,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,5.0,68.91,USD,NT30,2026-04-30,Open
4500000134,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,10.0,472.09,EUR,NT30,2026-04-20,Open
4500000135,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,51.0,251.44,EUR,NT45,2026-03-08,Open
4500000136,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,36.0,230.56,EUR,NT30,2026-04-05,Open
4500000137,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,17.0,456.5,USD,NT45,2026-01-10,Open
4500000138,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,44.0,600.39,EUR,NT60,2026-03-30,Open
4500000139,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,18.0,112.8,EUR,NT45,2026-01-19,Open
4500000140,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,24.0,558.92,EUR,NT30,2026-03-21,Open
4500000141,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,27.0,248.45,EUR,NT45,2026-01-28,Open
4500000142,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,12.0,384.87,EUR,NT30,2026-01-17,Open
4500000143,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,26.0,449.76,GBP,NT60,2026-02-16,Open
4500000144,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,36.0,172.89,GBP,NT30,2026-04-14,Open
4500000145,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,55.0,527.29,EUR,NT60,2026-04-02,Open
4500000146,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,9.0,79.55,EUR,NT60,2026-04-14,Open
4500000147,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,57.0,152.32,EUR,NT60,2026-03-16,Open
4500000148,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,32.0,423.68,EUR,NT60,2026-02-22,Open
4500000149,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,42.0,100.11,EUR,NT30,2026-03-16,Open
4500000150,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,8.0,262.83,EUR,NT30,2026-01-01,Open
4500000151,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,36.0,344.21,EUR,NT45,2026-04-23,Open
4500000152,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,21.0,191.77,GBP,NT45,2026-03-26,Open
4500000153,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,34.0,134.72,EUR,NT60,2026-01-24,Open
4500000154,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,13.0,153.57,USD,NT45,2026-03-09,Open
4500000155,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,23.0,582.16,EUR,NT30,2026-01-24,Open
4500000156,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,55.0,287.2,EUR,NT30,2026-02-15,Open
4500000157,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,54.0,483.87,GBP,NT60,2026-03-20,Open
4500000158,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,32.0,172.74,EUR,NT45,2026-01-04,Open
4500000159,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,9.0,545.18,EUR,NT60,2026-02-04,Open
4500000160,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,38.0,82.03,EUR,NT60,2026-01-08,Open
4500000161,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,10.0,129.55,EUR,NT30,2026-04-16,Open
4500000162,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,29.0,478.34,GBP,NT60,2026-03-07,Open
4500000163,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,36.0,80.71,USD,NT30,2026-04-25,Open
4500000164,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,57.0,80.29,EUR,NT30,2026-02-27,Open
4500000165,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,36.0,332.38,EUR,NT30,2026-04-23,Open
4500000166,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,10.0,476.61,USD,NT30,2026-04-24,Open
4500000167,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,11.0,332.08,EUR,NT45,2026-02-28,Open
4500000168,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,32.0,337.98,EUR,NT30,2026-02-20,Open
4500000169,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,11.0,400.79,EUR,NT60,2026-03-24,Open
4500000170,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,35.0,45.0,GBP,NT45,2026-01-04,Open
4500000171,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,44.0,253.48,EUR,NT45,2026-03-15,Open
4500000172,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,58.0,500.49,USD,NT60,2026-04-24,Open
4500000173,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,13.0,189.97,EUR,NT60,2026-04-19,Open
4500000174,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,45.0,175.79,EUR,NT60,2026-05-07,Open
4500000175,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,48.0,504.08,EUR,NT45,2026-04-23,Open
4500000176,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,27.0,591.83,EUR,NT60,2026-04-29,Open
4500000177,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,43.0,240.0,EUR,NT30,2026-01-08,Open
4500000178,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,4.0,154.34,EUR,NT30,2026-01-05,Open
4500000179,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,60.0,400.97,EUR,NT30,2026-03-13,Open
4500000180,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,48.0,323.76,EUR,NT60,2026-03-07,Open
4500000181,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,41.0,46.99,EUR,NT30,2026-05-02,Open
4500000182,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,12.0,69.95,GBP,NT60,2026-04-15,Open
4500000183,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,58.0,98.46,EUR,NT45,2026-01-12,Open
4500000184,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,41.0,341.88,EUR,NT60,2026-03-18,Open
4500000185,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,35.0,379.35,EUR,NT45,2026-01-31,Open
4500000186,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,9.0,394.0,EUR,NT45,2026-01-23,Open
4500000187,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,2.0,108.99,GBP,NT30,2026-05-01,Open
4500000188,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,47.0,304.69,USD,NT60,2026-02-13,Open
4500000189,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,54.0,582.07,EUR,NT45,2026-02-24,Open
4500000190,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,27.0,69.34,USD,NT30,2026-04-02,Open
4500000191,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,36.0,382.53,EUR,NT30,2026-02-11,Open
4500000192,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,53.0,537.14,USD,NT30,2026-03-31,Open
4500000193,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,17.0,95.09,GBP,NT45,2026-01-12,Open
4500000194,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,45.0,86.17,EUR,NT30,2026-04-20,Open
4500000195,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,30.0,550.76,EUR,NT30,2026-02-28,Open
4500000196,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,39.0,345.33,EUR,NT30,2026-04-01,Open
4500000197,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,5.0,139.6,EUR,NT60,2026-04-02,Open
4500000198,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,59.0,527.74,EUR,NT60,2026-02-28,Open
4500000199,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,9.0,243.86,EUR,NT60,2026-03-13,Open
4500000200,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,10.0,422.05,EUR,NT60,2026-04-06,Open
4500000201,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,60.0,358.16,EUR,NT30,2026-01-21,Open
4500000202,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,56.0,152.27,EUR,NT45,2026-04-16,Open
4500000203,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,48.0,348.18,GBP,NT30,2026-04-22,Open
4500000204,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,25.0,544.11,USD,NT60,2026-02-12,Open
4500000205,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,50.0,441.61,EUR,NT30,2026-03-03,Open
4500000206,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,33.0,459.01,EUR,NT30,2026-02-25,Open
4500000207,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,2.0,323.31,GBP,NT45,2026-04-16,Open
4500000208,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,24.0,255.84,EUR,NT30,2026-02-01,Open
4500000209,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,43.0,390.61,USD,NT45,2026-04-29,Open
4500000210,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,37.0,294.26,EUR,NT45,2026-01-17,Open
