EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MATKL,BUKRS,EKORG,EKGRP,WERKS,MENGE,MEINS,NETPR,WAERS,NETWR,BEDAT,EINDT,BUDAT,KONNR,ZTERM,FRGKE,ERNAM,AENAM,CHANGE_COUNT
4500008,00020,0000100001,Nordwind Industrie GmbH,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,1000,1000,P06,1010,90.0,PC,28.07,EUR,2526.3,2025-10-05,2025-10-23,2025-10-20,460001403,NT30,Approved,BUYER02,BUYER02,2
4500008,00030,0000100001,Nordwind Industrie GmbH,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,1000,1000,P06,1010,42.0,EA,142.29,EUR,5976.18,2025-10-05,2025-10-23,2025-10-20,460001585,NT30,Approved,BUYER02,BUYER02,1
4500008,00040,0000100001,Nordwind Industrie GmbH,MAT-100098,Precision adapter type 15 (Raw steel and metals),MG20,1000,1000,P06,1010,332.0,TO,15.17,EUR,5036.44,2025-10-05,2025-10-23,2025-10-20,460001298,NT30,Approved,BUYER02,BUYER02,2
4500009,00010,0000100001,Nordwind Industrie GmbH,MAT-100539,Insulated cartridge type 38 (Office and facility supplies),MG35,1000,1000,P03,1020,31.0,PC,72.24,EUR,2239.44,2025-11-20,2025-12-05,2025-12-04,460001739,NT30,Approved,BUYER07,BUYER07,2
4500009,00020,0000100001,Nordwind Industrie GmbH,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,1000,1000,P03,1020,56.0,EA,149.4,EUR,8366.4,2025-11-20,2025-12-05,2025-12-04,460001585,NT30,Approved,BUYER07,BUYER07,0
4500009,00030,0000100001,Nordwind Industrie GmbH,MAT-100266,Precision clamp type 39 (Raw steel and metals),MG20,1000,1000,P03,1020,179.0,TO,10.45,EUR,1870.55,2025-11-20,2025-12-05,2025-12-04,460001466,NT30,Approved,BUYER07,BUYER07,4
4500009,00040,0000100001,Nordwind Industrie GmbH,MAT-100098,Precision adapter type 15 (Raw steel and metals),MG20,1000,1000,P03,1020,216.0,TO,14.11,EUR,3047.76,2025-11-20,2025-12-05,2025-12-04,460001298,NT30,Approved,BUYER07,BUYER07,2
4500010,00010,0000100002,Bluepeak Manufacturing AG,MAT-100315,Modular pulley type 6 (Laboratory equipment),MG55,2000,2000,P01,2020,9.0,PC,1753.76,USD,15783.84,2025-01-07,2025-02-19,2025-02-18,460002515,NT30,Approved,BUYER11,BUYER11,3
4500010,00020,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P01,2020,283.0,PC,9.0,USD,2547.0,2025-01-07,2025-02-19,2025-02-18,460002487,NT30,Approved,BUYER11,BUYER11,3
4500010,00030,0000100002,Bluepeak Manufacturing AG,MAT-100301,High-temperature spindle type 4 (Maintenance services),MG45,2000,2000,P01,2020,328.0,H,113.34,USD,37175.52,2025-01-07,2025-02-19,2025-02-18,460002501,NT30,Approved,BUYER11,BUYER11,3
4500011,00010,0000100002,Bluepeak Manufacturing AG,MAT-100301,High-temperature spindle type 4 (Maintenance services),MG45,2000,2000,P05,2010,151.0,H,110.12,USD,16628.12,2025-02-18,2025-03-26,2025-03-25,460002501,NT30,Approved,BUYER07,BUYER07,0
4500011,00020,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P05,2010,31.0,L,32.92,USD,1020.52,2025-02-18,2025-03-26,2025-03-25,460002648,NT30,Approved,BUYER07,BUYER07,4
4500011,00030,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P05,2010,307.0,PC,8.67,USD,2661.69,2025-02-18,2025-03-26,2025-03-25,460002487,NT30,Approved,BUYER07,BUYER07,0
4500012,00010,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P06,2010,338.0,EA,91.01,USD,30761.38,2025-04-01,2025-04-11,2025-04-13,460002753,NT30,Approved,BUYER12,BUYER12,3
4500012,00020,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P06,2010,33.0,PC,8.37,USD,276.21,2025-04-01,2025-04-11,2025-04-13,460002487,NT30,Approved,BUYER12,BUYER12,0
4500012,00030,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P06,2010,301.0,L,32.96,USD,9920.96,2025-04-01,2025-04-11,2025-04-13,460002648,NT30,Approved,BUYER12,BUYER12,4
4500013,00010,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P05,2020,331.0,L,32.67,USD,10813.77,2025-05-02,2025-05-19,2025-05-21,460002648,NT30,Approved,BUYER06,BUYER06,0
4500013,00020,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P05,2020,149.0,EA,88.81,USD,13232.69,2025-05-02,2025-05-19,2025-05-21,460002753,NT30,Approved,BUYER06,BUYER06,4
4500013,00030,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P05,2020,157.0,PC,8.82,USD,1384.74,2025-05-02,2025-05-19,2025-05-21,460002487,NT30,Approved,BUYER06,BUYER06,1
4500014,00010,0000100002,Bluepeak Manufacturing AG,MAT-100532,Compact control unit type 37 (Chemicals and lubricants),MG30,2000,2000,P02,2010,105.0,KG,41.23,USD,4329.15,2025-06-11,2025-06-25,2025-06-23,460002732,NT30,Approved,BUYER07,BUYER07,4
4500014,00020,0000100002,Bluepeak Manufacturing AG,MAT-100315,Modular pulley type 6 (Laboratory equipment),MG55,2000,2000,P02,2010,5.0,PC,1635.61,USD,8178.05,2025-06-11,2025-06-25,2025-06-23,460002515,NT30,Approved,BUYER07,BUYER07,2
4500014,00030,0000100002,Bluepeak Manufacturing AG,MAT-100301,High-temperature spindle type 4 (Maintenance services),MG45,2000,2000,P02,2010,70.0,H,106.78,USD,7474.6,2025-06-11,2025-06-25,2025-06-23,460002501,NT30,Approved,BUYER07,BUYER07,1
4500014,00040,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P02,2010,61.0,EA,83.61,USD,5100.21,2025-06-11,2025-06-25,2025-06-23,460002753,NT30,Approved,BUYER07,BUYER07,1
4500015,00010,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P01,2010,313.0,PC,8.34,USD,2610.42,2025-07-24,2025-09-06,2025-09-07,460002487,NT30,Approved,BUYER02,BUYER02,1
4500015,00020,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P01,2010,69.0,EA,85.25,USD,5882.25,2025-07-24,2025-09-06,2025-09-07,460002753,NT30,Approved,BUYER02,BUYER02,1
4500015,00030,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P01,2010,209.0,L,33.5,EUR,7001.5,2025-07-24,2025-09-06,2025-09-07,460002648,NT30,Approved,BUYER02,BUYER02,3
4500015,00040,0000100002,Bluepeak Manufacturing AG,MAT-100532,Compact control unit type 37 (Chemicals and lubricants),MG30,2000,2000,P01,2010,302.0,KG,41.3,USD,12472.6,2025-07-24,2025-09-06,2025-09-07,460002732,NT30,Approved,BUYER02,BUYER02,4
4500016,00010,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P06,2020,354.0,L,33.72,USD,11936.88,2025-09-02,2025-09-21,2025-09-19,460002648,NT30,Approved,BUYER11,BUYER11,1
4500016,00020,0000100002,Bluepeak Manufacturing AG,MAT-100315,Modular pulley type 6 (Laboratory equipment),MG55,2000,2000,P06,2020,6.0,PC,1760.98,USD,10565.88,2025-09-02,2025-09-21,2025-09-19,460002515,NT30,Approved,BUYER11,BUYER11,1
4500016,00030,0000100002,Bluepeak Manufacturing AG,MAT-100301,High-temperature spindle type 4 (Maintenance services),MG45,2000,2000,P06,2020,325.0,H,103.76,USD,33722.0,2025-09-02,2025-09-21,2025-09-19,460002501,NT30,Approved,BUYER11,BUYER11,2
4500017,00010,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P02,2020,257.0,EA,91.9,USD,23618.3,2025-10-01,2025-10-12,2025-10-12,460002753,NT30,Approved,BUYER04,BUYER04,3
4500017,00020,0000100002,Bluepeak Manufacturing AG,MAT-100301,High-temperature spindle type 4 (Maintenance services),MG45,2000,2000,P02,2020,198.0,H,104.49,USD,20689.02,2025-10-01,2025-10-12,2025-10-12,460002501,NT30,Approved,BUYER04,BUYER04,3
4500017,00030,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P02,2020,140.0,PC,8.45,USD,1183.0,2025-10-01,2025-10-12,2025-10-12,460002487,NT30,Approved,BUYER04,BUYER04,3
4500018,00010,0000100002,Bluepeak Manufacturing AG,MAT-100448,Heavy-duty sensor type 25 (Chemicals and lubricants),MG30,2000,2000,P02,2010,179.0,L,34.84,USD,6236.36,2025-10-29,2025-11-16,2025-11-11,460002648,NT30,Approved,BUYER05,BUYER05,3
4500018,00020,0000100002,Bluepeak Manufacturing AG,MAT-100532,Compact control unit type 37 (Chemicals and lubricants),MG30,2000,2000,P02,2010,382.0,KG,40.71,USD,15551.22,2025-10-29,2025-11-16,2025-11-11,460002732,NT30,Approved,BUYER05,BUYER05,1
4500018,00030,0000100002,Bluepeak Manufacturing AG,MAT-100315,Modular pulley type 6 (Laboratory equipment),MG55,2000,2000,P02,2010,1.0,PC,1701.24,USD,1701.24,2025-10-29,2025-11-16,2025-11-11,460002515,NT30,Approved,BUYER05,BUYER05,0
4500018,00040,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P02,2010,51.0,PC,8.52,USD,434.52,2025-10-29,2025-11-16,2025-11-11,460002487,NT30,Approved,BUYER05,BUYER05,3
4500019,00010,0000100002,Bluepeak Manufacturing AG,MAT-100553,Reinforced gasket type 40 (Maintenance services),MG45,2000,2000,P04,2010,97.0,EA,87.9,USD,8526.3,2025-11-26,2026-01-01,2025-12-31,460002753,NT30,Approved,BUYER09,BUYER09,4
4500019,00020,0000100002,Bluepeak Manufacturing AG,MAT-100532,Compact control unit type 37 (Chemicals and lubricants),MG30,2000,2000,P04,2010,388.0,KG,37.82,USD,14674.16,2025-11-26,2026-01-01,2025-12-31,460002732,NT30,Approved,BUYER09,BUYER09,4
4500019,00030,0000100002,Bluepeak Manufacturing AG,MAT-100287,Low-friction membrane type 2 (Office and facility supplies),MG35,2000,2000,P04,2010,96.0,PC,8.68,USD,833.28,2025-11-26,2026-01-01,2025-12-31,460002487,NT30,Approved,BUYER09,BUYER09,0
4500020,00010,0000100003,Vertex Supply Ltd,MAT-100476,Stainless connector type 29 (Logistics and freight),MG50,3000,3000,P01,3010,34.0,H,254.17,GBP,8641.78,2025-01-25,2025-02-10,2025-02-08,460003676,NT30,Approved,BUYER04,BUYER04,2
4500020,00020,0000100003,Vertex Supply Ltd,MAT-100196,Low-friction bracket type 29 (Chemicals and lubricants),MG30,3000,3000,P01,3010,211.0,KG,11.23,GBP,2369.53,2025-01-25,2025-02-10,2025-02-08,460003396,NT30,Approved,BUYER04,BUYER04,1
4500020,00030,0000100003,Vertex Supply Ltd,MAT-100364,Industrial terminal block type 13 (Chemicals and lubricants),MG30,3000,3000,P01,3010,68.0,KG,15.53,GBP,1056.04,2025-01-25,2025-02-10,2025-02-08,460003564,NT30,Approved,BUYER04,BUYER04,0
4500021,00010,0000100003,Vertex Supply Ltd,MAT-100364,Industrial terminal block type 13 (Chemicals and lubricants),MG30,3000,3000,P01,3010,108.0,KG,15.38,GBP,1661.04,2025-03-19,2025-04-13,2025-04-09,460003564,NT30,Open,BUYER02,BUYER02,2
4500021,00020,0000100003,Vertex Supply Ltd,MAT-100063,Stainless gasket type 10 (Laboratory equipment),MG55,3000,3000,P01,3010,2.0,PC,1743.26,GBP,3486.52,2025-03-19,2025-04-13,2025-04-09,460003263,NT30,Open,BUYER02,BUYER02,3
4500021,00030,0000100003,Vertex Supply Ltd,MAT-100602,Precision housing type 7 (Raw steel and metals),MG20,3000,3000,P01,3010,131.0,KG,13.99,GBP,1832.69,2025-03-19,2025-04-13,2025-04-09,460003802,NT30,Open,BUYER02,BUYER02,3
4500022,00010,0000100003,Vertex Supply Ltd,MAT-100196,Low-friction bracket type 29 (Chemicals and lubricants),MG30,3000,3000,P04,3010,259.0,KG,11.53,GBP,2986.27,2025-05-12,2025-06-16,2025-06-14,460003396,NT30,Approved,BUYER10,BUYER10,4
4500022,00020,0000100003,Vertex Supply Ltd,MAT-100476,Stainless connector type 29 (Logistics and freight),MG50,3000,3000,P04,3010,12.0,H,258.88,GBP,3106.56,2025-05-12,2025-06-16,2025-06-14,460003676,NT30,Approved,BUYER10,BUYER10,1
4500022,00030,0000100003,Vertex Supply Ltd,MAT-100063,Stainless gasket type 10 (Laboratory equipment),MG55,3000,3000,P04,3010,2.0,PC,1897.76,GBP,3795.52,2025-05-12,2025-06-16,2025-06-14,460003263,NT30,Approved,BUYER10,BUYER10,2
4500023,00010,0000100003,Vertex Supply Ltd,MAT-100063,Stainless gasket type 10 (Laboratory equipment),MG55,3000,3000,P02,3010,5.0,PC,1896.31,GBP,9481.55,2025-06-23,2025-08-05,2025-08-04,460003263,NT30,Approved,BUYER06,BUYER06,0
4500023,00020,0000100003,Vertex Supply Ltd,MAT-100476,Stainless connector type 29 (Logistics and freight),MG50,3000,3000,P02,3010,51.0,H,266.94,GBP,13613.94,2025-06-23,2025-08-05,2025-08-04,460003676,NT30,Approved,BUYER06,BUYER06,2
4500023,00030,0000100003,Vertex Supply Ltd,MAT-100602,Precision housing type 7 (Raw steel and metals),MG20,3000,3000,P02,3010,356.0,KG,13.3,GBP,4734.8,2025-06-23,2025-08-05,2025-08-04,460003802,NT30,Approved,BUYER06,BUYER06,2
4500023,00040,0000100003,Vertex Supply Ltd,MAT-100196,Low-friction bracket type 29 (Chemicals and lubricants),MG30,3000,3000,P02,3010,188.0,KG,11.05,GBP,2077.4,2025-06-23,2025-08-05,2025-08-04,460003396,NT30,Approved,BUYER06,BUYER06,2
4500024,00010,0000100003,Vertex Supply Ltd,MAT-100476,Stainless connector type 29 (Logistics and freight),MG50,3000,3000,P02,3010,53.0,H,254.68,GBP,13498.04,2025-08-05,2025-09-02,2025-09-03,460003676,NT30,Approved,BUYER08,BUYER08,2
4500025,00010,0000100003,Vertex Supply Ltd,MAT-100196,Low-friction bracket type 29 (Chemicals and lubricants),MG30,3000,3000,P05,3010,88.0,KG,11.45,GBP,1007.6,2025-09-12,2025-09-28,2025-09-23,460003396,NT30,Approved,BUYER12,BUYER12,1
4500025,00020,0000100003,Vertex Supply Ltd,MAT-100364,Industrial terminal block type 13 (Chemicals and lubricants),MG30,3000,3000,P05,3010,186.0,KG,15.36,GBP,2856.96,2025-09-12,2025-09-28,2025-09-23,460003564,NT30,Approved,BUYER12,BUYER12,0
4500025,00030,0000100003,Vertex Supply Ltd,MAT-100476,Stainless connector type 29 (Logistics and freight),MG50,3000,3000,P05,3010,47.0,H,266.21,GBP,12511.87,2025-09-12,2025-09-28,2025-09-23,460003676,NT30,Approved,BUYER12,BUYER12,2
4500026,00010,0000100003,Vertex Supply Ltd,MAT-100602,Precision housing type 7 (Raw steel and metals),MG20,3000,3000,P01,3010,310.0,KG,14.28,GBP,4426.8,2025-10-14,2025-11-20,2025-11-15,460003802,NT30,Approved,BUYER05,BUYER05,1
4500026,00020,0000100003,Vertex Supply Ltd,MAT-100364,Industrial terminal block type 13 (Chemicals and lubricants),MG30,3000,3000,P01,3010,365.0,KG,15.98,GBP,5832.7,2025-10-14,2025-11-20,2025-11-15,460003564,NT30,Approved,BUYER05,BUYER05,2
4500027,00010,0000100003,Vertex Supply Ltd,MAT-100602,Precision housing type 7 (Raw steel and metals),MG20,3000,3000,P03,3010,166.0,KG,14.54,GBP,2413.64,2025-11-18,2025-12-20,2025-12-21,460003802,NT30,Approved,BUYER04,BUYER04,2
4500028,00010,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P05,4010,216.0,TO,11.39,CHF,2460.24,2025-01-06,2025-01-20,2025-01-18,460004550,Z060,Approved,BUYER10,BUYER10,1
4500028,00020,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P05,4010,126.0,BOX,43.02,CHF,5420.52,2025-01-06,2025-01-20,2025-01-18,460004235,Z060,Approved,BUYER10,BUYER10,1
4500028,00030,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P05,4010,14.0,EA,505.59,CHF,7078.26,2025-01-06,2025-01-20,2025-01-18,460004767,Z060,Approved,BUYER10,BUYER10,1
4500029,00010,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P04,4010,332.0,BOX,40.14,CHF,13326.48,2025-02-03,2025-03-12,2025-03-09,460004235,Z060,Approved,BUYER12,BUYER12,3
4500029,00020,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P04,4010,56.0,EA,527.59,CHF,29545.04,2025-02-03,2025-03-12,2025-03-09,460004767,Z060,Approved,BUYER12,BUYER12,3
4500030,00010,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P02,4010,26.0,EA,527.12,CHF,13705.12,2025-03-07,2025-03-22,2025-03-18,460004767,Z060,Approved,BUYER10,BUYER10,3
4500030,00020,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P02,4010,40.0,BOX,42.77,CHF,1710.8,2025-03-07,2025-03-22,2025-03-18,460004235,Z060,Approved,BUYER10,BUYER10,3
4500030,00030,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P02,4010,254.0,TO,11.53,CHF,2928.62,2025-03-07,2025-03-22,2025-03-18,460004550,Z060,Approved,BUYER10,BUYER10,4
4500031,00010,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P05,4010,246.0,TO,11.71,CHF,2880.66,2025-03-30,2025-05-01,2025-04-30,460004550,Z060,Approved,BUYER04,BUYER04,1
4500031,00020,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P05,4010,56.0,EA,525.6,CHF,29433.6,2025-03-30,2025-05-01,2025-04-30,460004767,Z060,Approved,BUYER04,BUYER04,2
4500031,00030,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P05,4010,202.0,BOX,40.6,CHF,8201.2,2025-03-30,2025-05-01,2025-04-30,460004235,Z060,Approved,BUYER04,BUYER04,1
4500032,00010,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P02,4010,37.0,EA,496.46,CHF,18369.02,2025-05-05,2025-06-15,2025-06-10,460004767,Z060,Approved,BUYER05,BUYER05,3
4500033,00010,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P06,4010,365.0,BOX,39.36,CHF,14366.4,2025-06-05,2025-07-07,2025-07-02,460004235,Z060,Approved,BUYER05,BUYER05,1
4500033,00020,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P06,4010,51.0,EA,501.27,CHF,25564.77,2025-06-05,2025-07-07,2025-07-02,460004767,Z060,Approved,BUYER05,BUYER05,3
4500034,00010,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P05,4010,302.0,TO,11.67,CHF,3524.34,2025-07-02,2025-07-18,2025-07-14,460004550,Z060,Approved,BUYER10,BUYER10,3
4500034,00020,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P05,4010,37.0,EA,505.14,CHF,18690.18,2025-07-02,2025-07-18,2025-07-14,460004767,Z060,Approved,BUYER10,BUYER10,4
4500034,00030,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P05,4010,367.0,BOX,40.34,CHF,14804.78,2025-07-02,2025-07-18,2025-07-14,460004235,Z060,Approved,BUYER10,BUYER10,1
4500035,00010,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P04,4010,189.0,TO,11.16,CHF,2109.24,2025-08-03,2025-08-15,2025-08-15,460004550,Z060,Approved,BUYER08,BUYER08,4
4500036,00010,0000100004,Ravenna Materials SpA,MAT-100035,Low-friction cartridge type 6 (Office and facility supplies),MG35,4000,4000,P01,4010,164.0,BOX,42.99,CHF,7050.36,2025-09-01,2025-10-10,2025-10-10,460004235,Z060,Approved,BUYER12,BUYER12,1
4500036,00020,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P01,4010,0.0,TO,11.26,CHF,0.0,2025-09-01,2025-10-10,2025-10-10,460004550,Z060,Approved,BUYER12,BUYER12,4
4500036,00030,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P01,4010,48.0,EA,520.57,CHF,24987.36,2025-09-01,2025-10-10,2025-10-10,460004767,Z060,Approved,BUYER12,BUYER12,1
4500037,00010,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P05,4010,37.0,EA,506.61,CHF,18744.57,2025-09-24,2025-10-23,2025-10-20,460004767,Z060,Approved,BUYER12,BUYER11,7
4500037,00020,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P05,4010,65.0,TO,11.45,CHF,744.25,2025-09-24,2025-10-23,2025-10-20,460004550,Z060,Approved,BUYER12,BUYER11,7
4500038,00010,0000100004,Ravenna Materials SpA,MAT-100567,Precision clamp type 2 (Laboratory equipment),MG55,4000,4000,P06,4010,52.0,EA,502.03,CHF,26105.56,2025-10-30,2025-11-23,2025-11-21,460004767,Z060,Approved,BUYER04,BUYER04,1
4500039,00010,0000100004,Ravenna Materials SpA,MAT-100350,Insulated clamp type 11 (Raw steel and metals),MG20,4000,4000,P01,4010,334.0,TO,11.35,CHF,3790.9,2025-11-24,2025-12-17,2025-12-13,460004550,Z060,Open,BUYER10,BUYER10,1
