EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MATKL,BUKRS,EKORG,EKGRP,WERKS,MENGE,MEINS,NETPR,WAERS,NETWR,BEDAT,EINDT,BUDAT,KONNR,ZTERM,FRGKE,ERNAM,AENAM,CHANGE_COUNT,POSTING_DATE,SPEND_CATEGORY,SUB_CATEGORY,CONTRACT_STATUS,PREFERRED_SUPPLIER,BASELINE_PRICE,ACTUAL_PRICE,PAYMENT_STATUS
5500050,00010,0000200029,Yarrow Technologies Oy,SPM-100045,Modular seal ring type 16,MG55,4000,4000,P01,4010,19.0,BOX,428.12,CHF,8134.28,2023-12-26,2024-01-20,2024-01-19,460029245,Z045,Approved,BUYER09,BUYER09,0,2024-01-02,Laboratory,Instruments,Contracted,Preferred,428.12,428.12,Paid
5500050,00020,0000200029,Yarrow Technologies Oy,SPM-100303,Low-friction pulley type 12,MG25,4000,4000,P04,4010,203.0,PC,7.86,CHF,1595.58,2023-12-19,2023-12-29,2023-12-29,460029503,NT60,Approved,BUYER12,BUYER09,3,2024-01-02,Packaging,Cartons,Contracted,Preferred,7.86,7.86,Paid
5500050,00030,0000200029,Yarrow Technologies Oy,SPM-100102,High-temperature sensor type 35,MG50,4000,4000,P05,4010,45.0,PC,673.05,CHF,30287.25,2023-12-31,2024-01-24,2024-01-24,460029302,NT60,Approved,BUYER04,BUYER07,0,2024-01-02,Logistics,Freight,Contracted,Preferred,673.05,673.05,Paid
5500051,00010,0000200030,Zenith Engineering Sp. z o.o.,SPM-100039,High-temperature pallet type 14,MG25,5000,5000,P02,5010,85.0,EA,107.43,SEK,9131.55,2023-12-20,2024-01-28,2024-01-26,460030239,NT45,Approved,BUYER14,BUYER11,2,2024-01-02,Packaging,Cartons,Contracted,Preferred,107.43,107.43,Open
5501869,00010,0000200017,Larkspur Logistics AS,SPM-100036,High-temperature control unit type 13,MG15,2000,2000,P02,2020,50.0,L,561.38,USD,28069.0,2023-12-18,2024-01-24,2024-01-25,460017236,NT30,Approved,BUYER03,BUYER14,1,2024-01-02,Components,Fasteners,Contracted,Preferred,561.38,561.38,Overdue
5501939,00010,0000200042,Milbrook Components SA,SPM-100132,Low-friction control unit type 45,MG15,2000,2000,P05,2010,56.0,BOX,683.57,USD,38279.92,2023-12-31,2024-01-31,2024-02-01,460042332,Z045,Approved,BUYER14,BUYER03,1,2024-01-02,Components,Fasteners,Contracted,Preferred,683.57,683.57,Paid
5501944,00010,0000200032,Belmont Trading BV,SPM-100180,Recycled sensor type 16,MG15,2000,2000,P01,2020,22.0,EA,355.55,USD,7822.1,2023-12-23,2024-02-01,2024-02-05,460032380,Z045,Approved,BUYER11,BUYER06,3,2024-01-02,Components,Fasteners,Contracted,Preferred,355.55,355.55,Paid
5502039,00010,0000200016,Juniper Materials SpA,SPM-100276,Heavy-duty filter type 3,MG15,1000,1000,P01,1010,21.0,KG,353.9,EUR,7431.9,2023-12-18,2023-12-28,2023-12-26,460016476,NT30,Approved,BUYER11,BUYER07,2,2024-01-02,Components,Fasteners,Contracted,Non-preferred,353.9,353.9,Overdue
5500005,00010,0000200004,Ravenna Systems Inc,SPM-900003,Precision tooling assembly type 2,MG90,4000,4000,P04,4010,5.0,PC,3377.79,CHF,16888.95,2023-12-16,2024-01-13,2024-01-14,460004103,Z030,Approved,BUYER08,BUYER14,1,2024-01-03,Specialised Tooling,Custom Tooling,Contracted,Preferred,3377.79,3377.79,Open
5500024,00010,0000200017,Larkspur Logistics AS,SPM-100069,Reinforced control unit type 24,MG55,2000,2000,P04,2020,16.0,KG,722.77,USD,11564.32,2023-12-29,2024-01-29,2024-01-28,460017269,Z045,Approved,BUYER02,BUYER14,0,2024-01-03,Laboratory,Instruments,Contracted,Preferred,722.77,722.77,Paid
5500024,00020,0000200017,Larkspur Logistics AS,SPM-100255,Insulated coupling type 41,MG25,2000,2000,P05,2020,374.0,EA,5.04,USD,1884.96,2023-12-23,2024-01-24,2024-01-22,460017455,NT60,Approved,BUYER05,BUYER14,0,2024-01-03,Packaging,Labels,Contracted,Preferred,5.04,5.04,Open
5500024,00030,0000200017,Larkspur Logistics AS,SPM-100105,Insulated pulley type 36,MG20,2000,2000,P01,2020,124.0,BOX,28.7,USD,3558.8,2023-12-17,2024-01-14,2024-01-16,460017305,NT60,Approved,BUYER13,BUYER01,1,2024-01-03,Raw Materials,Polymers,Contracted,Preferred,28.7,28.7,Paid
5500060,00010,0000200035,Eastvale Technologies Oy,SPM-100321,Modular service block type 18,MG30,5000,5000,P05,5010,167.0,PC,376.16,SEK,62818.72,2023-12-26,2024-01-31,2024-02-04,460035521,NT60,Approved,BUYER02,BUYER11,3,2024-01-03,Raw Materials,Polymers,Contracted,Preferred,376.16,376.16,Paid
5500060,00020,0000200035,Eastvale Technologies Oy,SPM-100126,Reinforced connector type 43,MG50,5000,5000,P02,5010,34.0,BOX,6339.23,SEK,215533.82,2023-12-15,2024-01-01,2024-01-04,460035326,NT60,Approved,BUYER13,BUYER04,3,2024-01-03,Logistics,Warehousing,Contracted,Preferred,6339.23,6339.23,Paid
5501959,00010,0000200023,Redstone Materials SpA,SPM-100180,Recycled sensor type 16,MG15,3000,3000,P04,3010,87.0,EA,278.31,GBP,24212.97,2024-01-01,2024-01-16,2024-01-19,460023380,Z030,Approved,BUYER04,BUYER06,2,2024-01-03,Components,Fasteners,Contracted,Preferred,278.31,278.31,Paid
5501994,00010,0000200024,Summit Systems Inc,SPM-100228,Modular seal ring type 32,MG15,4000,4000,P04,4010,97.0,KG,839.53,CHF,81434.41,2023-12-28,2024-01-29,2024-01-27,460024428,Z030,Approved,BUYER02,BUYER08,2,2024-01-03,Components,Fasteners,Contracted,Preferred,839.53,839.53,Overdue
5500022,00010,0000200016,Juniper Materials SpA,SPM-100267,Modular filter type 45,MG45,1000,1000,P01,1010,17.0,BOX,101.68,EUR,1728.56,2023-12-29,2024-01-14,2024-01-12,460016467,Z045,Approved,BUYER10,BUYER11,0,2024-01-04,Facilities,Maintenance,Contracted,Non-preferred,101.68,101.68,Paid
5500022,00020,0000200016,Juniper Materials SpA,SPM-100276,Heavy-duty filter type 3,MG15,1000,1000,P05,1010,41.0,KG,354.36,EUR,14528.76,2023-12-15,2023-12-26,2023-12-23,460016476,NT60,Approved,BUYER01,BUYER14,2,2024-01-04,Components,Fasteners,Contracted,Non-preferred,354.36,354.36,Paid
5500022,00030,0000200016,Juniper Materials SpA,SPM-100132,Low-friction control unit type 45,MG15,1000,1000,P01,1010,16.0,BOX,637.85,EUR,10205.6,2023-12-21,2024-01-02,2023-12-30,460016332,NT30,Approved,BUYER08,BUYER11,3,2024-01-04,Components,Fasteners,Contracted,Non-preferred,637.85,637.85,Paid
5500023,00010,0000200016,Juniper Materials SpA,SPM-100267,Modular filter type 45,MG45,1000,1000,P05,1020,8.0,BOX,103.14,EUR,825.12,2024-01-01,2024-01-21,2024-01-25,460016467,NT45,Approved,BUYER10,BUYER07,3,2024-01-04,Facilities,Maintenance,Contracted,Non-preferred,103.14,103.14,Paid
5500023,00020,0000200016,Juniper Materials SpA,SPM-100090,Stainless clamp type 31,MG60,1000,1000,P02,1010,4.0,PC,1245.68,EUR,4982.72,2023-12-29,2024-02-07,2024-02-05,460016290,NT45,Approved,BUYER14,BUYER10,1,2024-01-04,Professional Services,Audit,Contracted,Non-preferred,1245.68,1245.68,Open
5500041,00010,0000200024,Summit Systems Inc,SPM-100258,High-temperature valve type 42,MG60,4000,4000,P03,4010,4.0,L,1298.05,CHF,5192.2,2023-12-20,2023-12-30,2024-01-02,460024458,Z030,Approved,BUYER04,BUYER05,1,2024-01-04,Professional Services,Audit,Contracted,Preferred,1298.05,1298.05,Paid
5500065,00010,0000200039,Inverness Technologies Oy,SPM-100234,Modular seal ring type 34,MG60,4000,4000,P04,4010,9.0,BOX,1089.28,CHF,9803.52,2023-12-31,2024-02-09,2024-02-09,460039434,NT30,Approved,BUYER13,BUYER06,2,2024-01-04,Professional Services,Consulting,Contracted,Preferred,1089.28,1089.28,Paid
5500065,00020,0000200039,Inverness Technologies Oy,SPM-100084,Compact licence pack type 29,MG15,4000,4000,P03,4010,45.0,KG,510.14,CHF,22956.3,2023-12-16,2024-01-01,2023-12-31,460039284,Z045,Approved,BUYER08,BUYER03,3,2024-01-04,Components,Fasteners,Contracted,Preferred,510.14,510.14,Overdue
5500065,00030,0000200039,Inverness Technologies Oy,SPM-100036,High-temperature control unit type 13,MG15,4000,4000,P05,4010,45.0,L,486.3,CHF,21883.5,2023-12-25,2024-01-20,2024-01-20,460039236,Z045,Approved,BUYER07,BUYER10,1,2024-01-04,Components,Fasteners,Contracted,Preferred,486.3,486.3,Paid
5501623,00010,0000200016,Juniper Materials SpA,SPM-100132,Low-friction control unit type 45,MG15,1000,1000,P04,1020,20.0,BOX,625.79,EUR,12515.8,2023-12-27,2024-02-03,2024-02-07,,Z045,Approved,BUYER07,BUYER09,2,2024-01-04,Components,Fasteners,Not contracted,Non-preferred,625.79,625.79,Overdue
5501715,00010,0000200008,Bramble Logistics AS,SPM-100324,Stainless pulley type 19,MG15,3000,3000,P03,3010,29.0,EA,695.36,GBP,20165.44,2023-12-15,2023-12-31,2023-12-30,460008524,Z030,Approved,BUYER14,BUYER09,0,2024-01-04,Components,Mechanical,Contracted,Preferred,509.99,695.36,Overdue
5501742,00010,0000200044,Oakfield Components SA,SPM-100279,Certified adapter type 4,MG25,4000,4000,P04,4010,4.0,KG,8.35,CHF,33.4,2023-12-31,2024-02-08,2024-02-09,,NT45,Approved,BUYER06,BUYER13,1,2024-01-04,Packaging,Labels,Not contracted,Non-preferred,8.35,8.35,Paid
5501889,00010,0000200003,Vertex Materials SpA,SPM-100084,Compact licence pack type 29,MG15,3000,3000,P03,3010,27.0,KG,454.38,GBP,12268.26,2023-12-16,2023-12-31,2024-01-03,460003284,Z030,Approved,BUYER12,BUYER14,1,2024-01-04,Components,Fasteners,Contracted,Preferred,454.38,454.38,Open
5502004,00010,0000200020,Orchard Manufacturing AG,SPM-100228,Modular seal ring type 32,MG15,5000,5000,P03,5010,78.0,KG,10101.67,SEK,787930.26,2023-12-25,2024-01-25,2024-01-28,460020428,Z030,Approved,BUYER05,BUYER13,2,2024-01-04,Components,Fasteners,Contracted,Preferred,10101.67,10101.67,Paid
5500013,00010,0000200013,Granite Components SA,SPM-100210,Certified actuator type 26,MG60,3000,3000,P03,3010,9.0,L,1492.63,GBP,13433.67,2023-12-18,2024-01-21,2024-01-18,460013410,NT30,Approved,BUYER14,BUYER08,2,2024-01-05,Professional Services,Training,Contracted,Preferred,1492.63,1492.63,Overdue
5500013,00020,0000200013,Granite Components SA,SPM-100060,Modular adapter type 21,MG10,3000,3000,P03,3010,18.0,L,547.38,GBP,9852.84,2023-12-22,2024-01-17,2024-01-16,460013260,NT30,Approved,BUYER06,BUYER10,2,2024-01-05,Components,Fasteners,Contracted,Preferred,547.38,547.38,Paid
5500049,00010,0000200029,Yarrow Technologies Oy,SPM-100018,Heavy-duty bracket type 7,MG60,4000,4000,P02,4010,35.0,KG,473.32,CHF,16566.2,2023-12-25,2024-01-04,2024-01-07,460029218,NT60,Approved,BUYER03,BUYER06,0,2024-01-05,Professional Services,Audit,Contracted,Preferred,473.32,473.32,Paid
5500059,00010,0000200033,Cresthill Logistics AS,SPM-100285,Recycled relay type 6,MG55,3000,3000,P05,3010,9.0,L,1253.73,GBP,11283.57,2024-01-03,2024-02-06,2024-02-04,460033485,Z030,Approved,BUYER05,BUYER01,1,2024-01-05,Laboratory,Instruments,Contracted,Preferred,1253.73,1253.73,Paid
5500059,00020,0000200033,Cresthill Logistics AS,SPM-100249,Recycled membrane type 39,MG20,3000,3000,P04,3010,207.0,EA,31.09,GBP,6435.63,2023-12-29,2024-02-06,2024-02-05,460033449,NT60,Approved,BUYER11,BUYER08,1,2024-01-05,Raw Materials,Metals,Contracted,Preferred,31.09,31.09,Open
5500070,00010,0000200041,Lakeshore Engineering Sp. z o.o.,SPM-100282,Certified adapter type 5,MG60,1000,1000,P04,1010,10.0,EA,1511.58,EUR,15115.8,2023-12-31,2024-02-01,2024-01-29,460041482,Z030,Approved,BUYER09,BUYER09,1,2024-01-05,Professional Services,Audit,Contracted,Non-preferred,1511.58,1511.58,Paid
5500070,00020,0000200041,Lakeshore Engineering Sp. z o.o.,SPM-100354,Recycled cartridge type 29,MG60,1000,1000,P05,1020,12.0,KG,200.17,EUR,2402.04,2023-12-26,2024-01-26,2024-01-30,460041554,NT60,Approved,BUYER08,BUYER13,2,2024-01-05,Professional Services,Training,Contracted,Non-preferred,200.17,200.17,Overdue
5500070,00030,0000200041,Lakeshore Engineering Sp. z o.o.,SPM-100252,Reinforced valve type 40,MG10,1000,1000,P01,1020,40.0,KG,557.5,EUR,22300.0,2023-12-28,2024-01-14,2024-01-13,460041452,NT30,Approved,BUYER08,BUYER13,1,2024-01-05,Components,Electrical,Contracted,Non-preferred,557.5,557.5,Paid
5501655,00010,0000200003,Vertex Materials SpA,SPM-100201,Low-friction bearing type 23,MG20,3000,3000,P05,3010,99.0,BOX,39.77,GBP,3937.23,2023-12-29,2024-01-18,2024-01-20,,Z030,Approved,BUYER14,BUYER07,2,2024-01-05,Raw Materials,Polymers,Not contracted,Preferred,39.77,39.77,Paid
5501884,00010,0000200039,Inverness Technologies Oy,SPM-100084,Compact licence pack type 29,MG15,4000,4000,P02,4010,65.0,KG,509.22,CHF,33099.3,2023-12-21,2024-01-08,2024-01-12,460039284,NT45,Approved,BUYER05,BUYER14,2,2024-01-05,Components,Fasteners,Contracted,Preferred,509.22,509.22,Open
5502085,00010,0000200025,Thornbury Components SA,SPM-100270,Certified housing type 1,MG50,5000,5000,P05,5010,32.0,L,1964.85,SEK,62875.2,2023-12-16,2024-01-15,2024-01-13,460025470,Z030,Approved,BUYER05,BUYER11,0,2024-01-05,Logistics,Couriers,Contracted,Preferred,1964.85,1964.85,Paid
5502097,00010,0000200016,Juniper Materials SpA,SPM-100237,Precision licence pack type 35,MG55,1000,1000,P02,1010,52.0,EA,1692.0,EUR,87984.0,2023-12-23,2024-01-28,2024-01-30,460016437,NT45,Approved,BUYER11,BUYER03,2,2024-01-05,Laboratory,Consumables,Contracted,Non-preferred,1692.0,1692.0,Open
5500002,00010,0000200002,Bluepeak Logistics AS,SPM-100180,Recycled sensor type 16,MG15,2000,2000,P03,2020,39.0,EA,355.46,USD,13862.94,2023-12-23,2024-01-07,2024-01-11,460002380,Z030,Approved,BUYER10,BUYER04,1,2024-01-06,Components,Fasteners,Contracted,Preferred,355.46,355.46,Paid
5501599,00010,0000200006,Alpenrose Technologies Oy,SPM-100312,Insulated pallet type 15,MG41,1000,1000,P02,1010,30.0,BOX,913.35,EUR,27400.5,2024-01-01,2024-01-24,2024-01-24,,NT60,Approved,BUYER02,BUYER13,0,2024-01-06,IT and Telecom,Hardware,Not contracted,Non-preferred,913.35,913.35,Paid
5501635,00010,0000200021,Pinnacle Components SA,SPM-100132,Low-friction control unit type 45,MG15,1000,1000,P05,1020,16.0,BOX,634.9,EUR,10158.4,2024-01-04,2024-02-11,2024-02-10,,Z030,Approved,BUYER14,BUYER02,1,2024-01-06,Components,Fasteners,Not contracted,Non-preferred,634.9,634.9,Paid
5501709,00010,0000200024,Summit Systems Inc,SPM-100267,Modular filter type 45,MG45,4000,4000,P04,4010,70.0,BOX,124.82,CHF,8737.4,2023-12-18,2024-01-03,2023-12-31,460024467,NT45,Approved,BUYER11,BUYER11,0,2024-01-06,Facilities,Maintenance,Contracted,Preferred,97.63,124.82,Open
5501849,00010,0000200034,Dunmore Industrie GmbH,SPM-100036,High-temperature control unit type 13,MG15,4000,4000,P03,4010,26.0,L,493.24,CHF,12824.24,2023-12-22,2024-01-06,2024-01-06,460034236,NT45,Approved,BUYER14,BUYER05,3,2024-01-06,Components,Fasteners,Contracted,Preferred,493.24,493.24,Overdue
5502019,00010,0000200007,Silverline Technologies Oy,SPM-100276,Heavy-duty filter type 3,MG15,2000,2000,P01,2010,43.0,KG,386.34,USD,16612.62,2023-12-18,2024-01-05,2024-01-03,460007476,NT45,Approved,BUYER07,BUYER04,1,2024-01-06,Components,Fasteners,Contracted,Preferred,386.34,386.34,Paid
5500004,00010,0000200003,Vertex Materials SpA,SPM-100201,Low-friction bearing type 23,MG20,3000,3000,P02,3010,241.0,BOX,39.75,GBP,9579.75,2023-12-30,2024-02-04,2024-02-01,460003401,Z030,Approved,BUYER14,BUYER06,3,2024-01-07,Raw Materials,Polymers,Contracted,Preferred,39.75,39.75,Overdue
5500004,00020,0000200003,Vertex Materials SpA,SPM-100177,Stainless gasket type 15,MG30,3000,3000,P04,3010,140.0,BOX,1.61,GBP,225.4,2023-12-19,2024-01-12,2024-01-15,460003377,Z045,Approved,BUYER13,BUYER11,0,2024-01-07,Raw Materials,Chemicals,Contracted,Preferred,1.61,1.61,Paid
5500017,00010,0000200014,Harbourview Components SA,SPM-100282,Certified adapter type 5,MG60,4000,4000,P01,4010,4.0,EA,1432.69,CHF,5730.76,2023-12-30,2024-01-19,2024-01-18,460014482,NT30,Approved,BUYER02,BUYER14,2,2024-01-07,Professional Services,Audit,Contracted,Preferred,1432.69,1432.69,Overdue
5500043,00010,0000200025,Thornbury Components SA,SPM-100351,Low-friction bracket type 28,MG25,5000,5000,P04,5010,87.0,EA,48.3,SEK,4202.1,2024-01-04,2024-02-04,2024-02-07,460025551,Z030,Approved,BUYER13,BUYER09,2,2024-01-07,Packaging,Cartons,Contracted,Preferred,48.3,48.3,Open
5500043,00020,0000200025,Thornbury Components SA,SPM-100081,Stainless filter type 28,MG30,5000,5000,P04,5010,313.0,L,409.51,SEK,128176.63,2023-12-27,2024-01-31,2024-02-01,460025281,Z045,Approved,BUYER11,BUYER14,3,2024-01-07,Raw Materials,Metals,Contracted,Preferred,409.51,409.51,Paid
5501894,00010,0000200004,Ravenna Systems Inc,SPM-100084,Compact licence pack type 29,MG15,4000,4000,P05,4010,97.0,KG,507.32,CHF,49210.04,2023-12-31,2024-01-30,2024-01-29,460004284,NT30,Approved,BUYER11,BUYER02,0,2024-01-07,Components,Fasteners,Contracted,Preferred,507.32,507.32,Paid
5501979,00010,0000200028,Westford Technologies Oy,SPM-100228,Modular seal ring type 32,MG15,3000,3000,P02,3010,23.0,KG,751.67,GBP,17288.41,2023-12-22,2024-01-10,2024-01-07,460028428,NT45,Approved,BUYER14,BUYER08,3,2024-01-07,Components,Fasteners,Contracted,Preferred,751.67,751.67,Open
5500001,00010,0000200002,Bluepeak Logistics AS,SPM-100027,Insulated bracket type 10,MG45,2000,2000,P01,2010,8.0,EA,392.93,USD,3143.44,2023-12-28,2024-01-24,2024-01-24,460002227,NT60,Approved,BUYER10,BUYER04,2,2024-01-08,Facilities,Cleaning,Contracted,Preferred,392.93,392.93,Overdue
5500001,00020,0000200002,Bluepeak Logistics AS,SPM-100093,Reinforced seal ring type 32,MG55,2000,2000,P05,2020,7.0,KG,1139.15,USD,7974.05,2023-12-22,2024-01-17,2024-01-19,460002293,NT30,Approved,BUYER05,BUYER13,1,2024-01-08,Laboratory,Consumables,Contracted,Preferred,1139.15,1139.15,Open
5500010,00010,0000200009,Cobalt Manufacturing AG,SPM-100204,High-temperature filter type 24,MG10,4000,4000,P02,4010,5.0,L,553.19,CHF,2765.95,2023-12-20,2024-01-28,2024-02-01,460009404,Z030,Approved,BUYER09,BUYER11,3,2024-01-08,Components,Electrical,Contracted,Preferred,553.19,553.19,Paid
5500010,00020,0000200009,Cobalt Manufacturing AG,SPM-100186,Low-friction clamp type 18,MG60,4000,4000,P05,4010,4.0,KG,1620.47,CHF,6481.88,2024-01-04,2024-02-12,2024-02-14,460009386,Z045,Approved,BUYER10,BUYER06,3,2024-01-08,Professional Services,Audit,Contracted,Preferred,1620.47,1620.47,Overdue
5500010,00030,0000200009,Cobalt Manufacturing AG,SPM-100342,Compact pulley type 25,MG50,4000,4000,P05,4010,6.0,L,828.33,CHF,4969.98,2023-12-30,2024-01-14,2024-01-15,460009542,NT45,Approved,BUYER04,BUYER04,3,2024-01-08,Logistics,Couriers,Contracted,Preferred,828.33,828.33,Paid
5500073,00010,0000200042,Milbrook Components SA,SPM-100219,Low-friction housing type 29,MG45,2000,2000,P01,2010,31.0,BOX,287.78,USD,8921.18,2023-12-31,2024-02-09,2024-02-08,460042419,NT60,Approved,BUYER10,BUYER02,3,2024-01-08,Facilities,Energy,Contracted,Preferred,287.78,287.78,Overdue
5501733,00010,0000200001,Nordwind Components SA,SPM-100162,Industrial pulley type 10,MG60,1000,1000,P01,1020,43.0,BOX,2366.16,EUR,101744.88,2023-12-25,2024-01-25,2024-01-22,460001362,Z030,Approved,BUYER03,BUYER03,0,2024-01-08,Professional Services,Audit,Contracted,Non-preferred,1700.27,2366.16,Paid
5501839,00010,0000200008,Bramble Logistics AS,SPM-100036,High-temperature control unit type 13,MG15,3000,3000,P05,3010,40.0,L,440.15,GBP,17606.0,2023-12-27,2024-01-22,2024-01-21,460008236,Z030,Approved,BUYER03,BUYER14,2,2024-01-08,Components,Fasteners,Contracted,Preferred,440.15,440.15,Overdue
5501924,00010,0000200006,Alpenrose Technologies Oy,SPM-100132,Low-friction control unit type 45,MG15,1000,1000,P02,1020,50.0,BOX,632.39,EUR,31619.5,2024-01-03,2024-01-25,2024-01-26,460006332,NT30,Approved,BUYER12,BUYER11,0,2024-01-08,Components,Fasteners,Contracted,Non-preferred,632.39,632.39,Overdue
5501974,00010,0000200007,Silverline Technologies Oy,SPM-100180,Recycled sensor type 16,MG15,2000,2000,P02,2020,79.0,EA,355.34,USD,28071.86,2024-01-02,2024-02-11,2024-02-12,460007380,NT60,Approved,BUYER03,BUYER08,0,2024-01-08,Components,Fasteners,Contracted,Preferred,355.34,355.34,Overdue
5500015,00010,0000200014,Harbourview Components SA,SPM-100333,High-temperature valve type 22,MG55,4000,4000,P02,4010,2.0,L,2404.59,CHF,4809.18,2023-12-30,2024-02-07,2024-02-05,460014533,NT60,Approved,BUYER08,BUYER09,1,2024-01-09,Laboratory,Consumables,Contracted,Preferred,2404.59,2404.59,Paid
5500015,00020,0000200014,Harbourview Components SA,SPM-100015,Precision pulley type 6,MG25,4000,4000,P03,4010,362.0,EA,4.71,CHF,1705.02,2023-12-30,2024-01-14,2024-01-11,460014215,NT60,Approved,BUYER06,BUYER06,3,2024-01-09,Packaging,Labels,Contracted,Preferred,4.71,4.71,Paid
5500015,00030,0000200014,Harbourview Components SA,SPM-100069,Reinforced control unit type 24,MG55,4000,4000,P03,4010,15.0,KG,628.86,CHF,9432.9,2023-12-29,2024-01-30,2024-01-28,460014269,Z045,Approved,BUYER06,BUYER05,0,2024-01-09,Laboratory,Instruments,Contracted,Preferred,628.86,628.86,Open
5500029,00010,0000200019,Northgate Technologies Oy,SPM-100039,High-temperature pallet type 14,MG25,4000,4000,P02,4010,129.0,EA,8.98,CHF,1158.42,2023-12-28,2024-01-31,2024-01-28,460019239,NT30,Approved,BUYER11,BUYER09,0,2024-01-09,Packaging,Cartons,Contracted,Preferred,8.98,8.98,Paid
5500029,00020,0000200019,Northgate Technologies Oy,SPM-100060,Modular adapter type 21,MG10,4000,4000,P05,4010,48.0,L,601.77,CHF,28884.96,2024-01-03,2024-01-23,2024-01-20,460019260,NT45,Approved,BUYER06,BUYER08,1,2024-01-09,Components,Fasteners,Contracted,Preferred,601.77,601.77,Paid
5500029,00030,0000200019,Northgate Technologies Oy,SPM-100207,Stainless filter type 25,MG25,4000,4000,P05,4010,338.0,PC,0.66,CHF,223.08,2024-01-05,2024-01-15,2024-01-19,460019407,NT45,Approved,BUYER09,BUYER08,0,2024-01-09,Packaging,Cartons,Contracted,Preferred,0.66,0.66,Paid
