BELNR,LIFNR,NAME1,EBELN,EBELP,BLDAT,BUDAT,MENGE,NETPR,WRBTR,MWSTS,FREIGHT,WAERS,RMWWR,ZTERM,LFBNR
INV-2026-00027,0000700027,Valemont Manufacturing AG,4500000027,00010,2026-02-22,2026-02-23,26.0,477.37,12411.62,2358.21,120.0,GBP,14889.83,NT60,5000000027
INV-2026-00028,0000700028,Westford Trading BV,4500000028,00010,2026-05-25,2026-05-26,2.0,104.61,209.22,39.75,4.18,EUR,253.15,NT30,5000000028
INV-2026-00029,0000700029,Yarrow Supply Ltd,4500000029,00010,2026-05-03,2026-05-04,54.0,444.14,23983.56,4556.88,120.0,GBP,28660.44,NT30,5000000029
INV-2026-00030,0000700030,Zenith Materials SpA,4500000030,00010,2026-04-05,2026-04-06,47.0,351.48,16519.56,3138.72,120.0,EUR,19778.28,NT60,5000000030
INV-2026-00031,0000700001,Nordwind Industrie GmbH,4500000031,00010,2026-04-15,2026-04-16,46.0,92.23,4242.58,806.09,84.85,GBP,5133.52,NT30,5000000031
INV-2026-00032,0000700002,Bluepeak Manufacturing AG,4500000032,00010,2026-02-13,2026-02-14,34.0,401.12,13638.08,2591.24,120.0,USD,16349.32,NT45,5000000032
INV-2026-00033,0000700003,Vertex Trading BV,4500000033,00010,2026-05-16,2026-05-17,17.0,470.93,8005.81,1521.1,120.0,GBP,9646.91,NT30,5000000033
INV-2026-00034,0000700004,Ravenna Trading BV,4500000034,00010,2026-04-09,2026-04-10,37.0,111.1,4110.7,781.03,82.21,EUR,4973.94,NT60,5000000034
INV-2026-00035,0000700005,Kestrel Supply Ltd,4500000035,00010,2026-02-11,2026-02-12,9.0,79.75,717.75,136.37,14.36,EUR,868.48,NT30,5000000035
INV-2026-00036,0000700006,Alpenrose Logistics AS,4500000036,00010,2026-02-17,2026-02-18,14.0,594.47,8322.58,1581.29,120.0,EUR,10023.87,NT45,5000000036
INV-2026-00037,0000700007,Silverline Components SA,4500000037,00010,2026-03-07,2026-03-08,24.0,555.49,13331.76,2533.03,120.0,USD,15984.79,NT45,5000000037
INV-2026-00038,0000700008,Bramble Technologies Oy,4500000038,00010,2026-04-03,2026-04-04,16.0,140.08,2241.28,425.84,44.83,EUR,2711.95,NT45,5000000038
INV-2026-00039,0000700009,Cobalt Systems Inc,4500000039,00010,2026-05-18,2026-05-19,47.0,172.17,8091.99,1537.48,120.0,EUR,9749.47,NT60,5000000039
INV-2026-00040,0000700010,Driftwood Industrie GmbH,4500000040,00010,2026-04-10,2026-04-11,51.0,463.87,23657.37,4494.9,120.0,EUR,28272.27,NT60,5000000040
INV-2026-00041,0000700011,Ember Materials SpA,4500000041,00010,2026-03-28,2026-03-29,58.0,199.73,11584.34,2201.02,120.0,EUR,13905.36,NT30,5000000041
INV-2026-00042,0000700012,Fairmont Systems Inc,4500000042,00010,2026-01-21,2026-01-22,34.0,208.78,7098.52,1348.72,120.0,EUR,8567.24,NT30,5000000042
INV-2026-00043,0000700013,Granite Trading BV,4500000043,00010,2026-03-09,2026-03-10,41.0,99.21,4067.61,772.85,81.35,GBP,4921.81,NT60,5000000043
INV-2026-00044,0000700014,Harbourview Components SA,4500000044,00010,2026-01-17,2026-01-18,35.0,87.41,3059.35,581.28,61.19,GBP,3701.82,NT45,5000000044
INV-2026-00045,0000700015,Ironwood Supply Ltd,4500000045,00010,2026-04-25,2026-04-26,35.0,498.42,17444.7,3314.49,120.0,EUR,20879.19,NT30,5000000045
INV-2026-00046,0000700016,Juniper Technologies Oy,4500000046,00010,2026-03-08,2026-03-09,54.0,506.36,27343.44,5195.25,120.0,EUR,32658.69,NT60,5000000046
INV-2026-00047,0000700017,Larkspur Manufacturing AG,4500000047,00010,2026-04-02,2026-04-03,19.0,170.14,3232.66,614.21,64.65,EUR,3911.52,NT45,5000000047
INV-2026-00048,0000700018,Meridian Logistics AS,4500000048,00010,2026-04-03,2026-04-04,5.0,410.7,2053.5,390.17,41.07,EUR,2484.74,NT30,5000000048
INV-2026-00049,0000700019,Northgate Industrie GmbH,4500000049,00010,2026-04-16,2026-04-17,47.0,498.81,23444.07,4454.37,120.0,USD,28018.44,NT30,5000000049
INV-2026-00050,0000700020,Orchard Components SA,4500000050,00010,2026-04-02,2026-04-03,10.0,571.93,5719.3,1086.67,114.39,EUR,6920.36,NT45,5000000050
INV-2026-00051,0000700021,Pinnacle Manufacturing AG,4500000051,00010,2026-01-16,2026-01-17,28.0,148.9,4169.2,792.15,83.38,EUR,5044.73,NT45,5000000051
INV-2026-00052,0000700022,Quarry Materials SpA,4500000052,00010,2026-03-13,2026-03-14,48.0,138.47,6646.56,1262.85,120.0,EUR,8029.41,NT60,5000000052
INV-2026-00053,0000700023,Redstone Industrie GmbH,4500000053,00010,2026-03-16,2026-03-17,14.0,368.15,5154.1,979.28,103.08,EUR,6236.46,NT30,5000000053
INV-2026-00054,0000700024,Summit Manufacturing AG,4500000054,00010,2026-04-09,2026-04-10,44.0,334.19,14704.36,2793.83,120.0,EUR,17618.19,NT30,5000000054
INV-2026-00055,0000700025,Thornbury Components SA,4500000055,00010,2026-01-28,2026-01-29,12.0,153.99,1847.88,351.1,36.96,USD,2235.94,NT45,5000000055
INV-2026-00056,0000700026,Umbra Systems Inc,4500000056,00010,2026-02-13,2026-02-14,3.0,371.29,1113.87,211.64,22.28,EUR,1347.79,NT45,5000000056
INV-2026-00057,0000700027,Valemont Manufacturing AG,4500000057,00010,2026-03-28,2026-03-29,6.0,45.87,275.22,52.29,5.5,USD,333.01,NT60,5000000057
INV-2026-00058,0000700028,Westford Trading BV,4500000058,00010,2026-01-17,2026-01-18,59.0,496.11,29270.49,5561.39,120.0,USD,34951.88,NT30,5000000058
INV-2026-00059,0000700029,Yarrow Supply Ltd,4500000059,00010,2026-02-01,2026-02-02,18.0,305.56,5500.08,1045.02,110.0,EUR,6655.1,NT60,5000000059
INV-2026-00060,0000700030,Zenith Materials SpA,4500000060,00010,2026-02-27,2026-02-28,47.0,91.87,4317.89,820.4,86.36,EUR,5224.65,NT45,5000000060
INV-2026-00061,0000700001,Nordwind Industrie GmbH,4500000061,00010,2026-04-23,2026-04-24,41.0,479.94,19677.54,3738.73,120.0,EUR,23536.27,NT45,5000000061
INV-2026-00062,0000700002,Bluepeak Manufacturing AG,4500000062,00010,2026-03-10,2026-03-11,55.0,173.17,9524.35,1809.63,120.0,EUR,11453.98,NT60,5000000062
INV-2026-00063,0000700003,Vertex Trading BV,4500000063,00010,2026-04-19,2026-04-20,60.0,192.24,11534.4,2191.54,120.0,GBP,13845.94,NT45,5000000063
INV-2026-00064,0000700004,Ravenna Trading BV,4500000064,00010,2026-05-16,2026-05-17,2.0,570.28,1140.56,216.71,22.81,USD,1380.08,NT45,5000000064
INV-2026-00065,0000700005,Kestrel Supply Ltd,4500000065,00010,2026-04-28,2026-04-29,4.0,382.22,1528.88,290.49,30.58,EUR,1849.95,NT30,5000000065
INV-2026-00066,0000700006,Alpenrose Logistics AS,4500000066,00010,2026-02-19,2026-02-20,51.0,292.47,14915.97,2834.03,120.0,USD,17870.0,NT60,5000000066
INV-2026-00067,0000700007,Silverline Components SA,4500000067,00010,2026-04-27,2026-04-28,36.0,428.02,15408.72,2927.66,120.0,USD,18456.38,NT45,5000000067
INV-2026-00068,0000700008,Bramble Technologies Oy,4500000068,00010,2026-02-02,2026-02-03,32.0,67.64,2164.48,411.25,43.29,GBP,2619.02,NT45,5000000068
INV-2026-00069,0000700009,Cobalt Systems Inc,4500000069,00010,2026-05-19,2026-05-20,51.0,154.74,7891.74,1499.43,120.0,EUR,9511.17,NT30,5000000069
INV-2026-00070,0000700010,Driftwood Industrie GmbH,4500000070,00010,2026-04-19,2026-04-20,2.0,168.93,337.86,64.19,6.76,EUR,408.81,NT30,5000000070
INV-2026-00071,0000700011,Ember Materials SpA,4500000071,00010,2026-05-18,2026-05-19,46.0,171.37,7883.02,1497.77,120.0,EUR,9500.79,NT45,5000000071
INV-2026-00072,0000700012,Fairmont Systems Inc,4500000072,00010,2026-05-09,2026-05-10,60.0,77.17,4630.2,879.74,92.6,USD,5602.54,NT45,5000000072
INV-2026-00073,0000700013,Granite Trading BV,4500000073,00010,2026-04-05,2026-04-06,49.0,568.05,27834.45,5288.55,120.0,EUR,33243.0,NT45,5000000073
INV-2026-00074,0000700014,Harbourview Components SA,4500000074,00010,2026-01-28,2026-01-29,37.0,561.91,20790.67,3950.23,120.0,EUR,24860.9,NT60,5000000074
INV-2026-00075,0000700015,Ironwood Supply Ltd,4500000075,00010,2026-03-29,2026-03-30,54.0,161.69,8731.26,1658.94,120.0,USD,10510.2,NT60,5000000075
INV-2026-00076,0000700016,Juniper Technologies Oy,4500000076,00010,2026-04-16,2026-04-17,52.0,150.38,7819.76,1485.75,120.0,EUR,9425.51,NT60,5000000076
INV-2026-00077,0000700017,Larkspur Manufacturing AG,4500000077,00010,2026-02-13,2026-02-14,57.0,437.61,24943.77,4739.32,120.0,EUR,29803.09,NT45,5000000077
INV-2026-00078,0000700018,Meridian Logistics AS,4500000078,00010,2026-05-17,2026-05-18,36.0,163.99,5903.64,1121.69,118.07,EUR,7143.4,NT60,5000000078
INV-2026-00079,0000700019,Northgate Industrie GmbH,4500000079,00010,2026-04-30,2026-05-01,11.0,245.74,2703.14,513.6,54.06,EUR,3270.8,NT60,5000000079
INV-2026-00080,0000700020,Orchard Components SA,4500000080,00010,2026-05-06,2026-05-07,39.0,340.43,13276.77,2522.59,120.0,EUR,15919.36,NT45,5000000080
INV-2026-00081,0000700021,Pinnacle Manufacturing AG,4500000081,00010,2026-05-24,2026-05-25,46.0,526.25,24207.5,4599.43,120.0,EUR,28926.93,NT60,5000000081
INV-2026-00082,0000700022,Quarry Materials SpA,4500000082,00010,2026-02-01,2026-02-02,38.0,479.65,18226.7,3463.07,120.0,GBP,21809.77,NT45,5000000082
INV-2026-00083,0000700023,Redstone Industrie GmbH,4500000083,00010,2026-02-13,2026-02-14,51.0,498.18,25407.18,4827.36,120.0,EUR,30354.54,NT30,5000000083
INV-2026-00084,0000700024,Summit Manufacturing AG,4500000084,00010,2026-05-09,2026-05-10,5.0,74.07,370.35,70.37,7.41,GBP,448.13,NT60,5000000084
INV-2026-00085,0000700025,Thornbury Components SA,4500000085,00010,2026-04-23,2026-04-24,5.0,79.15,395.75,75.19,7.92,EUR,478.86,NT45,5000000085
INV-2026-00086,0000700026,Umbra Systems Inc,4500000086,00010,2026-04-01,2026-04-02,31.0,478.58,14835.98,2818.84,120.0,GBP,17774.82,NT45,5000000086
INV-2026-00087,0000700027,Valemont Manufacturing AG,4500000087,00010,2026-02-23,2026-02-24,58.0,236.28,13704.24,2603.81,120.0,EUR,16428.05,NT45,5000000087
INV-2026-00088,0000700028,Westford Trading BV,4500000088,00010,2026-04-13,2026-04-14,13.0,267.34,3475.42,660.33,69.51,EUR,4205.26,NT30,5000000088
INV-2026-00089,0000700029,Yarrow Supply Ltd,4500000089,00010,2026-01-25,2026-01-26,20.0,342.73,6854.6,1302.37,120.0,USD,8276.97,NT30,5000000089
INV-2026-00090,0000700030,Zenith Materials SpA,4500000090,00010,2026-05-03,2026-05-04,36.0,283.31,10199.16,1937.84,120.0,EUR,12257.0,NT45,5000000090
INV-2026-00091,0000700001,Nordwind Industrie GmbH,4500000091,00010,2026-03-05,2026-03-06,40.0,312.35,12494.0,2373.86,120.0,EUR,14987.86,NT60,5000000091
INV-2026-00092,0000700002,Bluepeak Manufacturing AG,4500000092,00010,2026-03-12,2026-03-13,46.0,478.92,22030.32,4185.76,120.0,EUR,26336.08,NT60,5000000092
INV-2026-00093,0000700003,Vertex Trading BV,4500000093,00010,2026-04-30,2026-05-01,12.0,334.55,4014.6,762.77,80.29,USD,4857.66,NT60,5000000093
INV-2026-00094,0000700004,Ravenna Trading BV,4500000094,00010,2026-01-26,2026-01-27,43.0,163.22,7018.46,1333.51,120.0,EUR,8471.97,NT30,5000000094
INV-2026-00095,0000700005,Kestrel Supply Ltd,4500000095,00010,2026-02-02,2026-02-03,46.0,332.06,15274.76,2902.2,120.0,EUR,18296.96,NT60,5000000095
INV-2026-00096,0000700006,Alpenrose Logistics AS,4500000096,00010,2026-04-26,2026-04-27,24.0,155.17,3724.08,707.58,74.48,USD,4506.14,NT30,5000000096
INV-2026-00097,0000700007,Silverline Components SA,4500000097,00010,2026-04-21,2026-04-22,7.0,561.07,3927.49,746.22,78.55,EUR,4752.26,NT30,5000000097
INV-2026-00098,0000700008,Bramble Technologies Oy,4500000098,00010,2026-03-04,2026-03-05,3.0,585.86,1757.58,333.94,35.15,EUR,2126.67,NT45,5000000098
INV-2026-00099,0000700009,Cobalt Systems Inc,4500000099,00010,2026-01-20,2026-01-21,34.0,229.06,7788.04,1479.73,120.0,USD,9387.77,NT30,5000000099
INV-2026-00100,0000700010,Driftwood Industrie GmbH,4500000100,00010,2026-01-31,2026-02-01,20.0,474.21,9484.2,1802.0,120.0,EUR,11406.2,NT30,5000000100
INV-2026-00101,0000700011,Ember Materials SpA,4500000101,00010,2026-02-16,2026-02-17,44.0,527.52,23210.88,4410.07,120.0,USD,27740.95,NT45,5000000101
INV-2026-00102,0000700012,Fairmont Systems Inc,4500000102,00010,2026-05-16,2026-05-17,5.0,535.79,2678.95,509.0,53.58,EUR,3241.53,NT30,5000000102
INV-2026-00103,0000700013,Granite Trading BV,4500000103,00010,2026-02-15,2026-02-16,43.0,86.67,3726.81,708.09,74.54,EUR,4509.44,NT45,5000000103
INV-2026-00104,0000700014,Harbourview Components SA,4500000104,00010,2026-04-22,2026-04-23,60.0,134.02,8041.2,1527.83,120.0,USD,9689.03,NT60,5000000104
INV-2026-00105,0000700015,Ironwood Supply Ltd,4500000105,00010,2026-01-21,2026-01-22,14.0,217.7,3047.8,579.08,60.96,GBP,3687.84,NT45,5000000105
INV-2026-00106,0000700016,Juniper Technologies Oy,4500000106,00010,2026-03-23,2026-03-24,47.0,311.8,14654.6,2784.37,120.0,EUR,17558.97,NT60,5000000106
INV-2026-00107,0000700017,Larkspur Manufacturing AG,4500000107,00010,2026-02-21,2026-02-22,26.0,557.17,14486.42,2752.42,120.0,EUR,17358.84,NT60,5000000107
INV-2026-00108,0000700018,Meridian Logistics AS,4500000108,00010,2026-03-23,2026-03-24,42.0,146.93,6171.06,1172.5,120.0,USD,7463.56,NT45,5000000108
INV-2026-00109,0000700019,Northgate Industrie GmbH,4500000109,00010,2026-05-03,2026-05-04,13.0,320.34,4164.42,791.24,83.29,GBP,5038.95,NT30,5000000109
INV-2026-00110,0000700020,Orchard Components SA,4500000110,00010,2026-03-09,2026-03-10,22.0,327.64,7208.08,1369.54,120.0,EUR,8697.62,NT60,5000000110
INV-2026-00111,0000700021,Pinnacle Manufacturing AG,4500000111,00010,2026-04-13,2026-04-14,56.0,488.74,27369.44,5200.19,120.0,USD,32689.63,NT45,5000000111
INV-2026-00112,0000700022,Quarry Materials SpA,4500000112,00010,2026-04-23,2026-04-24,12.0,362.89,4354.68,827.39,87.09,GBP,5269.16,NT60,5000000112
INV-2026-00113,0000700023,Redstone Industrie GmbH,4500000113,00010,2026-01-19,2026-01-20,28.0,43.4,1215.2,230.89,24.3,USD,1470.39,NT30,5000000113
INV-2026-00114,0000700024,Summit Manufacturing AG,4500000114,00010,2026-05-19,2026-05-20,39.0,319.4,12456.6,2366.75,120.0,USD,14943.35,NT30,5000000114
INV-2026-00115,0000700025,Thornbury Components SA,4500000115,00010,2026-05-26,2026-05-27,45.0,80.65,3629.25,689.56,72.59,EUR,4391.4,NT45,5000000115
INV-2026-00116,0000700026,Umbra Systems Inc,4500000116,00010,2026-02-23,2026-02-24,49.0,523.67,25659.83,4875.37,120.0,USD,30655.2,NT60,5000000116
INV-2026-00117,0000700027,Valemont Manufacturing AG,4500000117,00010,2026-05-01,2026-05-02,8.0,472.73,3781.84,718.55,75.64,USD,4576.03,NT60,5000000117
INV-2026-00118,0000700028,Westford Trading BV,4500000118,00010,2026-05-16,2026-05-17,7.0,199.11,1393.77,264.82,27.88,EUR,1686.47,NT60,5000000118
INV-2026-00119,0000700029,Yarrow Supply Ltd,4500000119,00010,2026-02-04,2026-02-05,51.0,574.6,29304.6,5567.87,120.0,EUR,34992.47,NT30,5000000119
INV-2026-00120,0000700030,Zenith Materials SpA,4500000120,00010,2026-04-03,2026-04-04,7.0,434.06,3038.42,577.3,60.77,USD,3676.49,NT45,5000000120
INV-2026-00121,0000700001,Nordwind Industrie GmbH,4500000121,00010,2026-02-17,2026-02-18,3.0,284.8,854.4,162.34,17.09,EUR,1033.83,NT45,5000000121
INV-2026-00122,0000700002,Bluepeak Manufacturing AG,4500000122,00010,2026-05-29,2026-05-30,33.0,148.15,4888.95,928.9,97.78,USD,5915.63,NT60,5000000122
INV-2026-00123,0000700003,Vertex Trading BV,4500000123,00010,2026-05-29,2026-05-30,11.0,431.28,4744.08,901.38,94.88,EUR,5740.34,NT30,5000000123
INV-2026-00124,0000700004,Ravenna Trading BV,4500000124,00010,2026-04-19,2026-04-20,40.0,350.79,14031.6,2666.0,120.0,EUR,16817.6,NT30,5000000124
INV-2026-00125,0000700005,Kestrel Supply Ltd,4500000125,00010,2026-02-27,2026-02-28,37.0,468.52,17335.24,3293.7,120.0,EUR,20748.94,NT45,5000000125
INV-2026-00126,0000700006,Alpenrose Logistics AS,4500000126,00010,2026-05-09,2026-05-10,17.0,448.94,7631.98,1450.08,120.0,GBP,9202.06,NT30,5000000126
INV-2026-00127,0000700007,Silverline Components SA,4500000127,00010,2026-03-11,2026-03-12,52.0,397.93,20692.36,3931.55,120.0,USD,24743.91,NT45,5000000127
INV-2026-00128,0000700008,Bramble Technologies Oy,4500000128,00010,2026-04-25,2026-04-26,58.0,42.88,2487.04,472.54,49.74,GBP,3009.32,NT60,5000000128
INV-2026-00129,0000700009,Cobalt Systems Inc,4500000129,00010,2026-03-10,2026-03-11,16.0,517.44,8279.04,1573.02,120.0,GBP,9972.06,NT30,5000000129
INV-2026-00130,0000700010,Driftwood Industrie GmbH,4500000130,00010,2026-04-21,2026-04-22,46.0,424.5,19527.0,3710.13,120.0,EUR,23357.13,NT30,5000000130
INV-2026-00131,0000700011,Ember Materials SpA,4500000131,00010,2026-06-06,2026-06-07,1.0,126.68,126.68,24.07,2.53,EUR,153.28,NT60,5000000131
INV-2026-00132,0000700012,Fairmont Systems Inc,4500000132,00010,2026-04-27,2026-04-28,14.0,594.73,8326.22,1581.98,120.0,GBP,10028.2,NT60,5000000132
INV-2026-00133,0000700013,Granite Trading BV,4500000133,00010,2026-05-09,2026-05-10,5.0,68.91,344.55,65.46,6.89,USD,416.9,NT30,5000000133
INV-2026-00134,0000700014,Harbourview Components SA,4500000134,00010,2026-04-29,2026-04-30,10.0,472.09,4720.9,896.97,94.42,EUR,5712.29,NT30,5000000134
INV-2026-00135,0000700015,Ironwood Supply Ltd,4500000135,00010,2026-03-16,2026-03-17,51.0,251.44,12823.44,2436.45,120.0,EUR,15379.89,NT45,5000000135
INV-2026-00136,0000700016,Juniper Technologies Oy,4500000136,00010,2026-04-19,2026-04-20,36.0,230.56,8300.16,1577.03,120.0,EUR,9997.19,NT30,5000000136
INV-2026-00137,0000700017,Larkspur Manufacturing AG,4500000137,00010,2026-02-10,2026-02-11,17.0,456.5,7760.5,1474.5,120.0,USD,9355.0,NT45,5000000137
INV-2026-00138,0000700018,Meridian Logistics AS,4500000138,00010,2026-04-27,2026-04-28,44.0,600.39,26417.16,5019.26,120.0,EUR,31556.42,NT60,5000000138
INV-2026-00139,0000700019,Northgate Industrie GmbH,4500000139,00010,2026-01-26,2026-01-27,18.0,112.8,2030.4,385.78,40.61,EUR,2456.79,NT45,5000000139
INV-2026-00140,0000700020,Orchard Components SA,4500000140,00010,2026-04-08,2026-04-09,24.0,558.92,13414.08,2548.68,120.0,EUR,16082.76,NT30,5000000140
INV-2026-00141,0000700021,Pinnacle Manufacturing AG,4500000141,00010,2026-02-08,2026-02-09,27.0,248.45,6708.15,1274.55,120.0,EUR,8102.7,NT45,5000000141
INV-2026-00142,0000700022,Quarry Materials SpA,4500000142,00010,2026-02-01,2026-02-02,12.0,384.87,4618.44,877.5,92.37,EUR,5588.31,NT30,5000000142
INV-2026-00143,0000700023,Redstone Industrie GmbH,4500000143,00010,2026-02-25,2026-02-26,26.0,449.76,11693.76,2221.81,120.0,GBP,14035.57,NT60,5000000143
INV-2026-00144,0000700024,Summit Manufacturing AG,4500000144,00010,2026-04-28,2026-04-29,36.0,172.89,6224.04,1182.57,120.0,GBP,7526.61,NT30,5000000144
INV-2026-00145,0000700025,Thornbury Components SA,4500000145,00010,2026-04-21,2026-04-22,55.0,527.29,29000.95,5510.18,120.0,EUR,34631.13,NT60,5000000145
INV-2026-00146,0000700026,Umbra Systems Inc,4500000146,00010,2026-04-25,2026-04-26,9.0,79.55,715.95,136.03,14.32,EUR,866.3,NT60,5000000146
INV-2026-00147,0000700027,Valemont Manufacturing AG,4500000147,00010,2026-04-11,2026-04-12,57.0,152.32,8682.24,1649.63,120.0,EUR,10451.87,NT60,5000000147
INV-2026-00148,0000700028,Westford Trading BV,4500000148,00010,2026-03-12,2026-03-13,32.0,423.68,13557.76,2575.97,120.0,EUR,16253.73,NT60,5000000148
INV-2026-00149,0000700029,Yarrow Supply Ltd,4500000149,00010,2026-03-29,2026-03-30,42.0,100.11,4204.62,798.88,84.09,EUR,5087.59,NT30,5000000149
INV-2026-00150,0000700030,Zenith Materials SpA,4500000150,00010,2026-01-15,2026-01-16,8.0,262.83,2102.64,399.5,42.05,EUR,2544.19,NT30,5000000150
INV-2026-00151,0000700001,Nordwind Industrie GmbH,4500000151,00010,2026-05-09,2026-05-10,36.0,344.21,12391.56,2354.4,120.0,EUR,14865.96,NT45,5000000151
INV-2026-00152,0000700002,Bluepeak Manufacturing AG,4500000152,00010,2026-04-10,2026-04-11,21.0,191.77,4027.17,765.16,80.54,GBP,4872.87,NT45,5000000152
INV-2026-00153,0000700003,Vertex Trading BV,4500000153,00010,2026-02-17,2026-02-18,34.0,134.72,4580.48,870.29,91.61,EUR,5542.38,NT60,5000000153
INV-2026-00154,0000700004,Ravenna Trading BV,4500000154,00010,2026-04-04,2026-04-05,13.0,153.57,1996.41,379.32,39.93,USD,2415.66,NT45,5000000154
INV-2026-00155,0000700005,Kestrel Supply Ltd,4500000155,00010,2026-02-07,2026-02-08,23.0,582.16,13389.68,2544.04,120.0,EUR,16053.72,NT30,5000000155
INV-2026-00156,0000700006,Alpenrose Logistics AS,4500000156,00010,2026-03-01,2026-03-02,55.0,287.2,15796.0,3001.24,120.0,EUR,18917.24,NT30,5000000156
INV-2026-00157,0000700007,Silverline Components SA,4500000157,00010,2026-03-28,2026-03-29,54.0,483.87,26128.98,4964.51,120.0,GBP,31213.49,NT60,5000000157
INV-2026-00158,0000700008,Bramble Technologies Oy,4500000158,00010,2026-01-31,2026-02-01,32.0,172.74,5527.68,1050.26,110.55,EUR,6688.49,NT45,5000000158
